Date,Open,High,Low,Close,Adj Close,Volume
2021-03-23,82600.000000,82900.000000,81800.000000,81800.000000,78401.687500,13299907
2021-03-24,81000.000000,81600.000000,80700.000000,81000.000000,77634.921875,17926638
2021-03-25,81000.000000,82100.000000,80800.000000,81200.000000,77826.601563,14758826
2021-03-26,81400.000000,81600.000000,81000.000000,81500.000000,78114.148438,12845778
2021-03-29,81700.000000,81700.000000,81000.000000,81600.000000,78209.992188,14952134
2021-03-30,81600.000000,82300.000000,81300.000000,82200.000000,79135.171875,13121698
2021-03-31,82400.000000,82700.000000,81400.000000,81400.000000,78364.984375,17240518
2021-04-01,82500.000000,83000.000000,82000.000000,82900.000000,79809.062500,18676461
2021-04-02,84000.000000,85200.000000,83900.000000,84800.000000,81638.226563,22997538
2021-04-05,85800.000000,86000.000000,84800.000000,85400.000000,82215.851563,16255990
2021-04-06,86200.000000,86200.000000,85100.000000,86000.000000,82793.484375,19042023
2021-04-07,86100.000000,86200.000000,85400.000000,85600.000000,82408.390625,17885538
2021-04-08,85700.000000,85700.000000,84100.000000,84700.000000,81541.960938,19244259
2021-04-09,84700.000000,84900.000000,83400.000000,83600.000000,80482.960938,18193707
2021-04-12,84100.000000,84100.000000,83100.000000,83200.000000,80097.882813,12915282
2021-04-13,83000.000000,84500.000000,82800.000000,84000.000000,80868.046875,15238206
2021-04-14,84000.000000,84300.000000,83400.000000,84000.000000,80868.046875,13794652
2021-04-15,83700.000000,84500.000000,83400.000000,84100.000000,80964.320313,16377412
2021-04-16,84700.000000,84700.000000,83600.000000,83900.000000,80771.781250,15429522
2021-04-19,83800.000000,84000.000000,83300.000000,83300.000000,80194.156250,15287311
2021-04-20,83300.000000,84000.000000,83100.000000,83900.000000,80771.781250,15521965
2021-04-21,83300.000000,83500.000000,82500.000000,82600.000000,79520.242188,21636079
2021-04-22,82900.000000,83000.000000,82400.000000,82400.000000,79327.710938,13934746
2021-04-23,81900.000000,82900.000000,81600.000000,82800.000000,79712.796875,17805080
2021-04-26,82900.000000,83500.000000,82600.000000,83500.000000,80386.695313,15489938
2021-04-27,83200.000000,83300.000000,82500.000000,82900.000000,79809.062500,12941533
2021-04-28,83200.000000,83200.000000,82100.000000,82100.000000,79038.890625,15596759
2021-04-29,82400.000000,82500.000000,81500.000000,81700.000000,78653.804688,20000973
2021-04-30,81900.000000,82100.000000,81500.000000,81500.000000,78461.265625,18673197
2021-05-03,81000.000000,82400.000000,81000.000000,81700.000000,78653.804688,15710336
2021-05-04,81900.000000,82600.000000,81800.000000,82600.000000,79520.242188,12532550
2021-05-06,81700.000000,82300.000000,81700.000000,82300.000000,79231.429688,17047511
2021-05-07,81800.000000,82100.000000,81500.000000,81900.000000,78846.359375,14154882
2021-05-10,82300.000000,83500.000000,81800.000000,83200.000000,80097.882813,19385027
2021-05-11,82500.000000,82600.000000,81100.000000,81200.000000,78172.437500,28996680
2021-05-12,80800.000000,81200.000000,79800.000000,80000.000000,77017.187500,35812268
2021-05-13,78900.000000,79600.000000,78400.000000,78500.000000,75573.125000,31490096
2021-05-14,79000.000000,80300.000000,78900.000000,80100.000000,77113.460938,16450920
2021-05-17,80800.000000,80900.000000,79200.000000,79600.000000,76632.117188,17740855
2021-05-18,79600.000000,80000.000000,79100.000000,79600.000000,76632.117188,17494407
2021-05-20,79400.000000,79700.000000,79100.000000,79500.000000,76535.835938,16541828
2021-05-21,80100.000000,81500.000000,79800.000000,80100.000000,77113.460938,20961714
2021-05-24,80100.000000,80400.000000,79500.000000,79700.000000,76728.367188,13398666
2021-05-25,80000.000000,80400.000000,79800.000000,79900.000000,76920.921875,13628942
2021-05-26,80400.000000,80500.000000,79700.000000,79800.000000,76824.640625,11984359
2021-05-27,80000.000000,80000.000000,79100.000000,79600.000000,76632.117188,23198510
2021-05-28,79800.000000,80400.000000,79400.000000,80100.000000,77113.460938,12360199
2021-05-31,80300.000000,80600.000000,79600.000000,80500.000000,77498.546875,13321324
2021-06-01,80500.000000,81300.000000,80100.000000,80600.000000,77594.828125,14058401
2021-06-02,80400.000000,81400.000000,80300.000000,80800.000000,77787.359375,16414644
2021-06-03,81300.000000,83000.000000,81100.000000,82800.000000,79712.796875,29546007
2021-06-04,82700.000000,82700.000000,81500.000000,82200.000000,79135.171875,18112259
2021-06-07,82700.000000,82800.000000,81600.000000,81900.000000,78846.359375,16496197
2021-06-08,82300.000000,82600.000000,81800.000000,81900.000000,78846.359375,12781226
2021-06-09,81500.000000,82000.000000,81100.000000,81100.000000,78076.171875,14908823
2021-06-10,81300.000000,81400.000000,80900.000000,81000.000000,77979.906250,17586995
2021-06-11,81200.000000,81700.000000,80700.000000,81000.000000,77979.906250,14087962
2021-06-14,80800.000000,80900.000000,80500.000000,80500.000000,77498.546875,10550078
2021-06-15,80900.000000,81200.000000,80600.000000,80900.000000,77883.640625,10075685
2021-06-16,81500.000000,81900.000000,81100.000000,81800.000000,78750.078125,14999855
2021-06-17,81100.000000,81300.000000,80700.000000,80900.000000,77883.640625,14007385
2021-06-18,81100.000000,81100.000000,80500.000000,80500.000000,77498.546875,14916721
2021-06-21,79700.000000,80000.000000,79600.000000,79900.000000,76920.921875,16063340
2021-06-22,80200.000000,80300.000000,79900.000000,80000.000000,77017.187500,11773365
2021-06-23,80500.000000,80600.000000,79900.000000,80100.000000,77113.460938,13856548
2021-06-24,80400.000000,81400.000000,80100.000000,81200.000000,78172.437500,18771080
2021-06-25,81500.000000,81900.000000,81200.000000,81600.000000,78557.531250,13481405
2021-06-28,81700.000000,82000.000000,81600.000000,81900.000000,78846.359375,11578529
2021-06-29,81900.000000,82100.000000,80800.000000,81000.000000,78325.148438,15744317
2021-06-30,81100.000000,81400.000000,80700.000000,80700.000000,78035.054688,13288643
2021-07-01,80500.000000,80600.000000,80000.000000,80100.000000,77454.875000,13382882
2021-07-02,80000.000000,80400.000000,79900.000000,80000.000000,77358.179688,8753097
2021-07-05,80100.000000,80800.000000,80000.000000,80400.000000,77744.960938,8330969
2021-07-06,80600.000000,81200.000000,80500.000000,81200.000000,78518.546875,12131651
2021-07-07,81200.000000,81300.000000,80300.000000,80800.000000,78131.750000,15992202
2021-07-08,81100.000000,81200.000000,79900.000000,79900.000000,77261.476563,16660998
2021-07-09,79600.000000,79800.000000,79000.000000,79400.000000,76777.984375,22720577
2021-07-12,79900.000000,80000.000000,79500.000000,79700.000000,77068.085938,9768108
2021-07-13,80000.000000,80200.000000,79800.000000,79800.000000,77164.773438,9863450
2021-07-14,79400.000000,79600.000000,79100.000000,79500.000000,76874.687500,11575636
2021-07-15,79800.000000,80600.000000,79500.000000,80600.000000,77938.359375,13766279
2021-07-16,80100.000000,80100.000000,79500.000000,79800.000000,77164.773438,10859399
2021-07-19,79100.000000,79200.000000,78800.000000,79000.000000,76391.195313,13155414
2021-07-20,78500.000000,79000.000000,78400.000000,79000.000000,76391.195313,12456646
2021-07-21,79000.000000,79100.000000,78500.000000,78500.000000,75907.703125,12355296
2021-07-22,79000.000000,79800.000000,78900.000000,79700.000000,77068.085938,12618790
2021-07-23,79700.000000,79900.000000,79200.000000,79300.000000,76681.289063,9098910
2021-07-26,79400.000000,79500.000000,78800.000000,78800.000000,76197.796875,10040975
2021-07-27,79200.000000,79400.000000,78500.000000,78500.000000,75907.703125,11427693
2021-07-28,78300.000000,79200.000000,78100.000000,79200.000000,76584.585938,12743417
2021-07-29,78800.000000,79400.000000,78800.000000,79000.000000,76391.195313,14360453
2021-07-30,78900.000000,78900.000000,78500.000000,78500.000000,75907.703125,13823411
2021-08-02,79200.000000,79500.000000,78700.000000,79300.000000,76681.289063,11739124
2021-08-03,79400.000000,81400.000000,79300.000000,81400.000000,78711.945313,24339360
2021-08-04,82200.000000,83100.000000,81800.000000,82900.000000,80162.398438,25642368
2021-08-05,83300.000000,83300.000000,82000.000000,82100.000000,79388.828125,18485469
2021-08-06,81900.000000,82500.000000,81300.000000,81500.000000,78808.640625,13342623
2021-08-09,81500.000000,82300.000000,80900.000000,81500.000000,78808.640625,15522581
2021-08-10,82300.000000,82400.000000,80100.000000,80200.000000,77551.570313,20362639
2021-08-11,79600.000000,79800.000000,78500.000000,78500.000000,75907.703125,30241137
