Location,Latitude,Longitude,Description
오월드,36.2913,127.3959,대전광역시 중구사정공원로 70 오월드 내 플라워랜드
세천,36.3402,127.4938,대전광역시 동구세천동 63-1  
장동,36.4135,127.4382,대전광역시 대덕구장동 360-2  
세종고운,36.5315,127.2406,세종특별자치시 고운동산 25번지  
세종금남,36.4585,127.2688,세종특별자치시 시군구금남면 성덕리 77-3
세종연서,36.5667,127.2806,세종특별자치시 연서면봉암리 196-1  
세종전의,36.6908,127.2005,세종특별자치시 전의면읍내리 5-1번지(전의생활체육공원)  
북격렬비도,36.6254,125.5595,충청남도 태안군근흥면 가의도리산 27(북격렬비도) 
호도,36.3012,126.2663,충청남도 보령시오천면 녹도리 388-5
대산,37.0106,126.3881,충청남도 서산시대산읍 대죽리산95-1 (5304부대 대산방공진지)
홍북,36.6277,126.6451,충청남도 홍성군홍북면 상하리산91(1789부대 4대대) 
홍성죽도,36.52,126.4424,충청남도 홍성군서부면 죽도리 33-1
공주,36.4828,127.1365,충청남도 공주시금흥동 산 21번지(공주예비군 훈련장)
서천,36.0625,126.7041,충청남도 서천군마서면 계동리 76-1서천군농업기술센터
논산,36.2116,127.1082,충청남도 논산시덕지동 43-29  
당진,36.8894,126.6174,충청남도 당진시채운동 363-23(당진예비군훈련장)
성거,36.8782,127.1561,충청남도 천안시서북구 성거읍봉주로 75(서북구청) 
청양,36.4237,126.7791,충청남도 청양군청양읍 구봉로1026-84 청양농업기술센터 
태안,36.7585,126.2964,충청남도 태안군태안읍 백화로49(태안초등학교)  
예산,36.7421,126.8144,충청남도 예산군신암면 오신로852(예산군농업기술센터)  
유구,36.5407,126.9336,충청남도 공주시유구읍 만천리500번지  
정안,36.5511,127.0938,충청남도 공주시정안면 평정리284-5  
아산,36.8458,126.8654,충청남도 아산시인주면 현대로1077(현대자동차㈜ 아산공장) 
양화,36.1319,126.8602,충청남도 부여군양화면 충절로267-6 양화중학교 
계룡,36.3132,127.2407,충청남도 계룡시신도안면 사서함 501-328호 공군기상단
춘장대,36.1741,126.5285,충청남도 서천군 서면 부사로 289부사교
대천항,36.3244,126.5021,충청남도 보령시신흑동 산 205155레이더기지
안도,36.9587,126.1683,충청남도 태안군원북면 방갈리산240번지  
옹도,36.6476,126.0093,충청남도 태안군근흥면 가의도리 산510
정산,36.3862,126.9565,충청남도 청양군정산면 학암리 19-2(축산기술연구소)
