air_inflow,air_end_temp,motor_current,motor_rpm,motor_temp,motor_vibe,type
1.59,41.0,20.53,1680.0,58.67,2.93,30
2.97,59.28,38.4,3142.0,74.91,3.75,30
1.91,45.29,24.73,2023.0,62.48,3.12,30
2.37,51.33,30.63,2506.0,67.84,3.39,30
1.9,45.21,24.65,2017.0,62.41,3.12,30
2.22,49.34,28.69,2347.0,66.08,3.3,30
2.92,58.7,37.84,3096.0,74.4,3.72,30
3.23,62.7,41.75,3416.0,77.96,3.9,30
2.11,47.93,27.3,2234.0,64.82,3.24,30
2.88,58.08,37.23,3046.0,73.84,3.69,30
2.46,52.58,31.85,2606.0,68.96,3.45,30
1.34,37.78,17.38,1422.0,55.8,2.79,30
2.35,51.09,30.4,2487.0,67.63,3.38,30
2.57,53.99,33.23,2719.0,70.21,3.51,30
3.1,60.98,40.06,3278.0,76.42,3.82,30
2.8,57.1,36.28,2968.0,72.98,3.65,30
2.03,46.81,26.22,2145.0,63.83,3.19,30
1.33,37.55,17.16,1404.0,55.6,2.78,30
2.6,54.36,33.6,2749.0,70.54,3.53,30
2.0,46.41,25.83,2113.0,63.48,3.17,30
2.07,47.4,26.79,2192.0,64.36,3.22,30
1.78,43.58,23.05,1886.0,60.96,3.05,30
2.9,58.4,37.55,3072.0,74.13,3.71,30
2.66,55.2,34.42,2816.0,71.29,3.56,30
1.48,39.56,19.13,1565.0,57.39,2.87,30
3.08,60.83,39.92,3266.0,76.29,3.81,30
1.43,38.86,18.44,1509.0,56.77,2.84,30
2.56,53.85,33.1,2708.0,70.09,3.5,30
1.54,40.4,19.95,1632.0,58.13,2.91,30
1.96,45.98,25.4,2078.0,63.09,3.15,30
1.78,43.53,23.0,1882.0,60.91,3.05,30
3.02,59.93,39.04,3194.0,75.49,3.77,30
2.5,53.06,32.33,2645.0,69.39,3.47,30
1.58,40.96,20.5,1677.0,58.63,2.93,30
1.74,43.01,22.5,1841.0,60.46,3.02,30
3.29,63.56,42.59,3485.0,78.72,3.94,30
1.39,38.43,18.02,1474.0,56.38,2.82,30
2.45,52.46,31.74,2597.0,68.86,3.44,30
2.16,48.54,27.9,2283.0,65.37,3.27,30
2.35,51.1,30.41,2488.0,67.64,3.38,30
3.17,61.99,41.05,3359.0,77.32,3.87,30
1.48,39.53,19.09,1562.0,57.36,2.87,30
2.08,47.51,26.9,2201.0,64.46,3.22,30
1.27,36.85,16.48,1348.0,54.98,2.75,30
1.72,42.78,22.27,1822.0,60.24,3.01,30
3.23,62.69,41.74,3415.0,77.94,3.9,30
1.63,41.51,21.03,1721.0,59.12,2.96,30
3.17,61.95,41.02,3356.0,77.29,3.86,30
1.88,44.88,24.32,1990.0,62.11,3.11,30
1.91,45.33,24.76,2026.0,62.51,3.13,30
1.91,45.29,24.73,2023.0,62.48,3.12,30
3.06,60.48,39.58,3238.0,75.98,3.8,30
1.29,37.03,16.65,1362.0,55.13,2.76,30
3.2,62.35,41.41,3388.0,77.64,3.88,30
1.98,46.16,25.58,2093.0,63.26,3.16,30
2.88,58.08,37.23,3046.0,73.84,3.69,30
2.79,56.95,36.13,2956.0,72.84,3.64,30
1.55,40.54,20.08,1643.0,58.26,2.91,30
2.9,58.4,37.55,3072.0,74.13,3.71,30
2.22,49.43,28.77,2354.0,66.16,3.31,30
1.97,46.01,25.43,2081.0,63.12,3.16,30
3.17,62.01,41.08,3361.0,77.34,3.87,30
1.43,38.96,18.54,1517.0,56.86,2.84,30
1.5,39.88,19.43,1590.0,57.67,2.88,30
2.61,54.54,33.77,2763.0,70.7,3.54,30
1.28,36.95,16.57,1356.0,55.07,2.75,30
2.29,50.35,29.68,2428.0,66.98,3.35,30
1.34,37.75,17.36,1420.0,55.78,2.79,30
1.78,43.5,22.98,1880.0,60.89,3.04,30
1.67,42.06,21.57,1765.0,59.61,2.98,30
1.2,35.83,15.47,1266.0,54.07,2.7,30
2.26,49.91,29.25,2393.0,66.59,3.33,30
2.68,55.5,34.71,2840.0,71.56,3.58,30
1.93,45.55,24.98,2044.0,62.71,3.14,30
3.3,63.66,42.69,3493.0,78.81,3.94,30
1.87,44.73,24.18,1978.0,61.98,3.1,30
