index,quality
0,3
1,3
2,4
3,3
4,4
5,4
6,4
7,4
8,4
9,5
10,4
11,4
12,5
13,4
14,3
15,3
16,4
17,4
18,4
19,3
20,4
21,4
22,3
23,5
24,4
25,3
26,3
27,3
28,3
29,3
30,5
31,4
32,3
33,3
34,3
35,4
36,3
37,3
38,4
39,4
40,4
41,3
42,4
43,3
44,4
45,4
46,3
47,4
48,3
49,4
50,3
51,3
52,4
53,3
54,3
55,4
56,4
57,3
58,3
59,4
60,3
61,3
62,4
63,3
64,4
65,4
66,3
67,3
68,4
69,3
70,3
71,3
72,3
73,3
74,4
75,3
76,3
77,5
78,5
79,5
80,4
81,4
82,3
83,3
84,4
85,3
86,3
87,3
88,4
89,5
90,4
91,4
92,4
93,4
94,4
95,5
96,4
97,4
98,4
99,5
100,3
101,4
102,3
103,3
104,3
105,4
106,4
107,4
108,5
109,3
110,4
111,4
112,4
113,3
114,3
115,4
116,4
117,5
118,5
119,4
120,5
121,3
122,4
123,4
124,3
125,3
126,4
127,4
128,4
129,5
130,3
131,3
132,3
133,3
134,3
135,4
136,4
137,4
138,3
139,3
140,3
141,4
142,3
143,3
144,3
145,3
146,5
147,4
148,5
149,4
150,3
151,5
152,4
153,3
154,4
155,3
156,3
157,3
158,4
159,3
160,3
161,4
162,4
163,4
164,4
165,3
166,3
167,4
168,3
169,4
170,3
171,3
172,4
173,3
174,4
175,4
176,4
177,3
178,4
179,3
180,4
181,4
182,5
183,5
184,3
185,4
186,4
187,4
188,3
189,4
190,4
191,3
192,3
193,4
194,4
195,3
196,5
197,3
198,3
199,3
200,4
201,4
202,4
203,3
204,3
205,3
206,4
207,4
208,4
209,3
210,5
211,3
212,3
213,3
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,3
222,4
223,4
224,5
225,4
226,4
227,4
228,4
229,3
230,4
231,5
232,5
233,4
234,4
235,4
236,3
237,4
238,4
239,5
240,4
241,4
242,3
243,4
244,5
245,4
246,4
247,5
248,3
249,4
250,3
251,4
252,5
253,5
254,4
255,4
256,4
257,5
258,5
259,4
260,5
261,4
262,3
263,5
264,3
265,3
266,4
267,3
268,4
269,4
270,4
271,3
272,3
273,3
274,4
275,3
276,5
277,5
278,3
279,4
280,4
281,4
282,4
283,3
284,4
285,5
286,4
287,4
288,4
289,4
290,3
291,3
292,3
293,4
294,3
295,5
296,5
297,3
298,3
299,5
300,4
301,4
302,3
303,3
304,4
305,5
306,3
307,5
308,3
309,3
310,4
311,3
312,4
313,3
314,4
315,4
316,3
317,3
318,4
319,4
320,3
321,3
322,4
323,3
324,3
325,3
326,3
327,4
328,4
329,4
330,4
331,5
332,5
333,3
334,3
335,4
336,3
337,4
338,4
339,4
340,4
341,4
342,5
343,4
344,3
345,4
346,3
347,4
348,3
349,4
350,3
351,4
352,3
353,5
354,4
355,3
356,4
357,4
358,4
359,4
360,3
361,4
362,4
363,5
364,5
365,4
366,3
367,3
368,5
369,4
370,4
371,4
372,3
373,4
374,4
375,3
376,3
377,4
378,4
379,4
380,5
381,4
382,5
383,5
384,3
385,4
386,4
387,3
388,5
389,3
390,5
391,3
392,5
393,4
394,3
395,4
396,4
397,5
398,5
399,3
400,5
401,4
402,4
403,4
404,4
405,3
406,4
407,3
408,4
409,4
410,4
411,4
412,4
413,3
414,4
415,4
416,3
417,4
418,3
419,3
420,5
421,4
422,3
423,3
424,3
425,4
426,4
427,4
428,3
429,3
430,4
431,3
432,3
433,5
434,5
435,3
436,4
437,3
438,3
439,3
440,3
441,5
442,4
443,4
444,4
445,4
446,3
447,3
448,3
449,4
450,4
451,5
452,3
453,4
454,4
455,3
456,5
457,3
458,4
459,3
460,3
461,5
462,3
463,3
464,3
465,3
466,4
467,4
468,4
469,3
470,3
471,3
472,3
473,3
474,3
475,4
476,4
477,5
478,5
479,4
480,4
481,5
482,3
483,3
484,5
485,3
486,3
487,4
488,3
489,3
490,5
491,4
492,3
493,5
494,3
495,4
496,4
497,3
498,4
499,4
500,4
501,4
502,5
503,5
504,4
505,3
506,4
507,4
508,4
509,4
510,3
511,3
512,4
513,4
514,4
515,3
516,3
517,5
518,4
519,3
520,3
521,3
522,3
523,5
524,4
525,3
526,4
527,5
528,4
529,4
530,3
531,3
532,4
533,3
534,4
535,4
536,4
537,3
538,3
539,3
540,4
541,3
542,5
543,4
544,4
545,4
546,4
547,3
548,4
549,4
550,4
551,4
552,4
553,4
554,3
555,4
556,3
557,3
558,3
559,5
560,3
561,4
562,4
563,4
564,5
565,4
566,4
567,5
568,4
569,3
570,4
571,3
572,3
573,4
574,4
575,3
576,4
577,3
578,3
579,3
580,4
581,4
582,3
583,3
584,4
585,5
586,4
587,5
588,4
589,5
590,5
591,3
592,5
593,4
594,3
595,3
596,3
597,5
598,4
599,4
600,4
601,5
602,4
603,5
604,3
605,4
606,3
607,3
608,5
609,4
610,5
611,3
612,4
613,3
614,4
615,4
616,3
617,4
618,5
619,4
620,4
621,3
622,4
623,4
624,3
625,4
626,3
627,4
628,3
629,4
630,3
631,3
632,4
633,3
634,3
635,5
636,3
637,4
638,5
639,3
640,3
641,4
642,4
643,3
644,4
645,4
646,4
647,3
648,4
649,3
650,4
651,3
652,5
653,5
654,4
655,3
656,4
657,4
658,4
659,3
660,5
661,4
662,4
663,3
664,4
665,3
666,4
667,3
668,4
669,3
670,4
671,3
672,4
673,5
674,3
675,3
676,4
677,4
678,5
679,5
680,4
681,4
682,5
683,3
684,5
685,5
686,4
687,4
688,3
689,4
690,5
691,3
692,3
693,4
694,4
695,4
696,4
697,4
698,3
699,4
700,5
701,3
702,4
703,3
704,3
705,4
706,3
707,5
708,3
709,3
710,3
711,3
712,4
713,3
714,4
715,4
716,3
717,4
718,3
719,4
720,3
721,4
722,4
723,3
724,4
725,5
726,4
727,3
728,5
729,4
730,3
731,5
732,3
733,3
734,5
735,4
736,3
737,5
738,4
739,3
740,4
741,3
742,4
743,3
744,4
745,4
746,5
747,4
748,3
749,3
750,4
751,3
752,4
753,4
754,4
755,5
756,3
757,5
758,4
759,5
760,3
761,3
762,3
763,5
764,4
765,4
766,3
767,4
768,3
769,4
770,3
771,4
772,4
773,3
774,4
775,4
776,4
777,3
778,4
779,3
780,5
781,3
782,3
783,3
784,3
785,3
786,3
787,3
788,3
789,4
790,4
791,4
792,4
793,4
794,5
795,4
796,4
797,3
798,4
799,3
800,3
801,3
802,4
803,4
804,3
805,4
806,3
807,5
808,5
809,5
810,4
811,4
812,3
813,4
814,5
815,3
816,4
817,4
818,3
819,3
820,4
821,3
822,3
823,3
824,5
825,4
826,4
827,3
828,5
829,5
830,4
831,4
832,4
833,3
834,5
835,4
836,3
837,5
838,3
839,3
840,3
841,4
842,4
843,3
844,4
845,4
846,5
847,5
848,5
849,4
850,3
851,5
852,3
853,4
854,3
855,4
856,4
857,4
858,3
859,4
860,3
861,4
862,3
863,3
864,4
865,4
866,3
867,5
868,3
869,4
870,5
871,5
872,4
873,5
874,3
875,3
876,4
877,3
878,4
879,4
880,3
881,5
