index,quality
0,4
1,4
2,5
3,5
4,7
5,5
6,6
7,6
8,6
9,9
10,6
11,5
12,7
13,6
14,6
15,5
16,6
17,7
18,5
19,5
20,7
21,6
22,5
23,7
24,6
25,4
26,4
27,6
28,5
29,5
30,8
31,6
32,4
33,5
34,5
35,8
36,4
37,5
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,5
47,6
48,4
49,6
50,5
51,5
52,6
53,4
54,5
55,5
56,5
57,4
58,5
59,4
60,5
61,5
62,6
63,4
64,6
65,6
66,5
67,6
68,5
69,5
70,5
71,5
72,5
73,5
74,6
75,5
76,3
77,7
78,7
79,7
80,6
81,6
82,5
83,4
84,6
85,6
86,5
87,5
88,6
89,8
90,7
91,6
92,6
93,6
94,6
95,7
96,7
97,7
98,6
99,8
100,6
101,5
102,6
103,5
104,5
105,6
106,6
107,6
108,5
109,6
110,6
111,6
112,6
113,5
114,4
115,6
116,6
117,7
118,8
119,6
120,7
121,4
122,6
123,7
124,6
125,5
126,6
127,6
128,6
129,8
130,5
131,5
132,6
133,5
134,6
135,6
136,6
137,7
138,4
139,5
140,5
141,4
142,6
143,5
144,5
145,5
146,7
147,5
148,7
149,6
150,6
151,8
152,6
153,5
154,6
155,5
156,6
157,6
158,7
159,4
160,4
161,6
162,5
163,7
164,7
165,6
166,4
167,6
168,5
169,6
170,4
171,5
172,6
173,5
174,6
175,5
176,6
177,5
178,5
179,4
180,5
181,5
182,6
183,7
184,5
185,6
186,6
187,6
188,4
189,5
190,6
191,5
192,8
193,5
194,5
195,6
196,7
197,5
198,5
199,5
200,7
201,5
202,5
203,4
204,4
205,5
206,6
207,6
208,6
209,5
210,7
211,5
212,4
213,6
214,6
215,9
216,5
217,6
218,6
219,6
220,6
221,6
222,7
223,6
224,7
225,6
226,7
227,5
228,6
229,5
230,6
231,7
232,7
233,6
234,6
235,6
236,6
237,6
238,6
239,6
240,6
241,6
242,4
243,6
244,7
245,6
246,4
247,7
248,5
249,7
250,4
251,5
252,6
253,7
254,6
255,6
256,6
257,7
258,6
259,6
260,7
261,5
262,5
263,7
264,6
265,6
266,6
267,5
268,6
269,6
270,6
271,9
272,5
273,5
274,6
275,5
276,7
277,7
278,5
279,6
280,6
281,6
282,6
283,6
284,7
285,4
286,6
287,6
288,5
289,6
290,5
291,5
292,3
293,6
294,5
295,6
296,8
297,6
298,5
299,7
300,7
301,6
302,5
303,6
304,6
305,5
306,4
307,6
308,5
309,5
310,5
311,5
312,6
313,5
314,5
315,6
316,5
317,4
318,6
319,6
320,6
321,5
322,6
323,5
324,4
325,5
326,6
327,7
328,7
329,6
330,5
331,7
332,7
333,5
334,5
335,7
336,5
337,6
338,6
339,5
340,6
341,6
342,7
343,6
344,5
345,7
346,6
347,8
348,5
349,6
350,5
351,6
352,5
353,7
354,6
355,5
356,7
357,6
358,6
359,6
360,4
361,5
362,5
363,7
364,6
365,6
366,6
367,3
368,8
369,6
370,6
371,5
372,4
373,6
374,5
375,6
376,5
377,7
378,7
379,5
380,7
381,6
382,7
383,6
384,5
385,7
386,6
387,5
388,6
389,5
390,7
391,5
392,8
393,4
394,5
395,5
396,6
397,7
398,7
399,5
400,7
401,4
402,6
403,6
404,6
405,5
406,6
407,6
408,6
409,5
410,6
411,6
412,6
413,5
414,5
415,7
416,6
417,6
418,5
419,6
420,6
421,6
422,4
423,6
424,5
425,6
426,8
427,6
428,5
429,6
430,7
431,6
432,5
433,7
434,6
435,4
436,6
437,5
438,5
439,4
440,5
441,7
442,4
443,6
444,7
445,6
446,5
447,4
448,5
449,6
450,6
451,6
452,5
453,6
454,6
455,4
456,7
457,5
458,6
459,3
460,6
461,6
462,6
463,5
464,4
465,6
466,6
467,5
468,6
469,5
470,5
471,5
472,4
473,5
474,5
475,6
476,7
477,8
478,8
479,6
480,6
481,7
482,6
483,6
484,8
485,6
486,6
487,6
488,3
489,6
490,7
491,6
492,6
493,7
494,4
495,8
496,6
497,4
498,8
499,6
500,6
501,6
502,7
503,6
504,3
505,6
506,6
507,6
508,6
509,7
510,5
511,5
512,6
513,4
514,5
515,5
516,5
517,6
518,6
519,5
520,5
521,6
522,5
523,6
524,6
525,4
526,6
527,6
528,6
529,6
530,5
531,6
532,6
533,6
534,6
535,7
536,6
537,6
538,4
539,5
540,5
541,5
542,7
543,6
544,6
545,6
546,7
547,5
548,6
549,6
550,6
551,6
552,6
553,4
554,5
555,6
556,5
557,5
558,5
559,6
560,5
561,5
562,4
563,4
564,6
565,6
566,6
567,8
568,6
569,5
570,6
571,5
572,5
573,7
574,6
575,4
576,6
577,5
578,5
579,5
580,6
581,5
582,4
583,5
584,6
585,7
586,7
587,7
588,3
589,7
590,7
591,5
592,7
593,6
594,5
595,5
596,4
597,6
598,5
599,6
600,6
601,6
602,6
603,6
604,5
605,6
606,5
607,5
608,7
609,5
610,8
611,5
612,6
613,5
614,6
615,6
616,5
617,7
618,4
619,6
620,6
621,4
622,6
623,4
624,5
625,6
626,5
627,5
628,5
629,6
630,5
631,5
632,6
633,5
634,6
635,7
636,5
637,6
638,8
639,5
640,5
641,6
642,5
643,6
644,5
645,6
646,6
647,6
648,6
649,5
650,7
651,5
652,7
653,7
654,6
655,4
656,7
657,6
658,6
659,5
660,7
661,5
662,6
663,5
664,7
665,6
666,7
667,5
668,6
669,5
670,6
671,6
672,6
673,6
674,7
675,5
676,5
677,6
678,6
679,7
680,7
681,5
682,7
683,5
684,8
685,8
686,6
687,6
688,4
689,6
690,7
691,5
692,5
693,6
694,6
695,6
696,6
697,6
698,5
699,5
700,7
701,5
702,7
703,5
704,5
705,4
706,5
707,6
708,5
709,5
710,6
711,5
712,6
713,6
714,6
715,6
716,5
717,6
718,6
719,6
720,4
721,6
722,8
723,5
724,7
725,6
726,6
727,4
728,7
729,6
730,4
731,8
732,5
733,5
734,7
735,6
736,5
737,7
738,6
739,5
740,6
741,5
742,6
743,4
744,5
745,5
746,8
747,5
748,5
749,5
750,6
751,5
752,6
753,5
754,5
755,7
756,6
757,7
758,3
759,6
760,5
761,5
762,6
763,7
764,7
765,6
766,6
767,6
768,5
769,6
770,5
771,5
772,6
773,5
774,7
775,6
776,8
777,6
778,6
779,5
780,6
781,5
782,5
783,6
784,5
785,5
786,4
787,5
788,5
789,7
790,4
791,4
792,6
793,4
794,7
795,6
796,6
797,5
798,6
799,5
800,4
801,5
802,6
803,7
804,5
805,7
806,5
807,7
808,6
809,6
810,6
811,7
812,6
813,7
814,7
815,5
816,5
817,6
818,6
819,5
820,6
821,5
822,4
823,5
824,8
825,6
826,6
827,5
828,6
829,6
830,4
831,6
832,7
833,5
834,6
835,6
836,4
837,8
838,5
839,5
840,5
841,5
842,7
843,5
844,6
845,5
846,6
847,7
848,7
849,7
850,5
851,7
852,6
853,6
854,5
855,6
856,7
857,6
858,6
859,5
860,5
861,6
862,5
863,5
864,6
865,6
866,4
867,7
868,6
869,6
870,8
871,7
872,7
873,7
874,5
875,5
876,3
877,6
878,7
879,5
880,4
881,6
882,5
883,5
884,5
885,7
886,5
887,6
888,6
889,4
890,5
891,4
892,7
893,6
894,5
895,5
896,6
897,6
898,6
899,8
900,6
901,6
902,5
903,7
904,6
905,6
906,5
907,7
908,6
909,6
910,6
911,5
912,5
913,6
914,6
915,8
916,8
917,7
918,6
919,4
920,6
921,6
922,6
923,6
924,7
925,4
926,6
927,5
928,6
929,5
930,4
931,5
932,5
933,6
934,4
935,6
936,5
937,5
938,4
939,6
940,5
941,6
942,6
943,5
944,8
945,6
946,6
947,4
948,6
949,6
950,6
951,8
952,6
953,6
954,5
955,6
956,6
957,7
958,7
959,6
960,4
961,5
962,6
963,6
964,5
965,5
966,5
967,5
968,4
969,6
970,6
971,8
972,7
973,6
974,7
975,6
976,6
977,6
978,5
979,6
980,5
981,5
982,6
983,6
984,5
985,6
986,6
987,4
988,5
989,4
990,6
991,4
992,7
993,5
994,7
995,5
996,6
997,5
998,6
999,6
