date,PM,temperature,direction,velocity,rain,humidity
01-01 00:00,0.068,0.2259083728278041,0.0516666666666666,0.0255754475703324,0.0,0.548
01-01 01:00,0.076,0.2180094786729857,0.0,0.0051150895140664,0.0,0.5700000000000001
01-01 02:00,0.068,0.2069510268562401,0.0,0.0051150895140664,0.0,0.631
01-01 03:00,0.072,0.2006319115323855,0.6322222222222222,0.0153452685421994,0.0,0.675
01-01 04:00,0.068,0.1895734597156398,0.0,0.0025575447570332,0.0,0.7050000000000001
01-01 05:00,0.08,0.1958925750394944,0.0,0.0025575447570332,0.0,0.6839999999999999
01-01 06:00,0.072,0.2006319115323855,0.0,0.0076726342710997,0.0,0.6880000000000001
01-01 07:00,0.076,0.2211690363349131,0.0,0.0,0.0,0.667
01-01 08:00,0.06,0.2606635071090047,0.0416666666666666,0.0127877237851662,0.0,0.521
01-01 09:00,0.084,0.2843601895734597,0.8541666666666667,0.0306905370843989,0.0,0.525
01-01 10:00,0.076,0.3080568720379147,0.8305555555555556,0.0383631713554987,0.0,0.521
01-01 11:00,0.056,0.3238546603475514,0.9536111111111112,0.0306905370843989,0.0,0.518
01-01 12:00,0.072,0.3333333333333333,0.7166666666666667,0.0588235294117647,0.0,0.504
01-01 13:00,0.092,0.339652448657188,0.7227777777777777,0.0588235294117647,0.0,0.51
01-01 14:00,0.076,0.3317535545023697,0.7711111111111112,0.0511508951406649,0.0,0.5650000000000001
01-01 15:00,0.072,0.3175355450236967,0.6930555555555555,0.0358056265984654,0.0,0.5900000000000001
01-01 16:00,0.076,0.3033175355450237,0.8866666666666667,0.0230179028132992,0.0,0.549
01-01 17:00,0.084,0.2985781990521327,0.0,0.0102301790281329,0.0,0.513
01-01 18:00,0.072,0.292259083728278,0.5916666666666667,0.0153452685421994,0.0,0.5459999999999999
01-01 19:00,0.084,0.2859399684044234,0.5727777777777777,0.0153452685421994,0.0,0.5630000000000001
01-01 20:00,0.064,0.278041074249605,0.0,0.0051150895140664,0.0,0.582
01-01 21:00,0.084,0.2748815165876777,0.0,0.0025575447570332,0.0,0.613
01-01 22:00,0.072,0.2717219589257504,0.0,0.0,0.0,0.652
01-01 23:00,0.068,0.2764612954186414,0.0,0.0076726342710997,0.0,0.628
01-02 00:00,0.06,0.282780410742496,0.0,0.0051150895140664,0.0,0.637
01-02 01:00,0.048,0.2859399684044234,0.0636111111111111,0.0204603580562659,0.0,0.61
01-02 02:00,0.044,0.2764612954186414,0.6427777777777778,0.0127877237851662,0.0,0.683
01-02 03:00,0.048,0.2843601895734597,0.0,0.0076726342710997,0.0,0.698
01-02 04:00,0.056,0.2796208530805687,0.6725,0.0127877237851662,0.0,0.731
01-02 05:00,0.076,0.2796208530805687,0.5988888888888889,0.0230179028132992,0.0,0.761
01-02 06:00,0.08,0.2843601895734597,0.0,0.0076726342710997,0.0,0.756
01-02 07:00,0.08,0.2954186413902054,0.8652777777777778,0.0409207161125319,0.0,0.553
01-02 08:00,0.076,0.311216429699842,0.8202777777777779,0.0562659846547314,0.0,0.403
01-02 09:00,0.088,0.3270142180094787,0.8908333333333334,0.0409207161125319,0.0,0.4009999999999999
01-02 10:00,0.072,0.3285939968404424,0.8458333333333333,0.0818414322250639,0.0,0.394
01-02 11:00,0.06,0.3428120063191153,0.8041666666666667,0.0511508951406649,0.0,0.3759999999999999
01-02 12:00,0.048,0.3428120063191153,0.8213888888888888,0.0767263427109974,0.0,0.372
01-02 13:00,0.036,0.334913112164297,0.8575,0.0690537084398977,0.0,0.409
01-02 14:00,0.028,0.3270142180094787,0.8436111111111111,0.0767263427109974,0.0,0.435
01-02 15:00,0.032,0.3191153238546603,0.8547222222222223,0.0639386189258312,0.0,0.474
01-02 16:00,0.032,0.3096366508688783,0.8502777777777779,0.0511508951406649,0.0,0.499
01-02 17:00,0.044,0.3048973143759874,0.8425,0.0537084398976982,0.0,0.526
01-02 18:00,0.044,0.292259083728278,0.0447222222222222,0.0383631713554987,0.0,0.512
01-02 19:00,0.064,0.282780410742496,0.0047222222222222,0.0358056265984654,0.0,0.484
