date,PM,temperature,direction,velocity,rain,humidity
01-01 00:00,0.024,0.2385466034755134,0.893888888888889,0.0613810741687979,0.0,0.696
01-01 01:00,0.052,0.2353870458135861,0.9061111111111112,0.0537084398976982,0.0,0.725
01-01 02:00,0.04,0.2338072669826224,0.912777777777778,0.0818414322250639,0.0,0.7120000000000001
01-01 03:00,0.044,0.2306477093206951,0.9033333333333332,0.0613810741687979,0.0,0.7050000000000001
01-01 04:00,0.028,0.2338072669826224,0.8847222222222223,0.0562659846547314,0.0,0.7020000000000001
01-01 05:00,0.024,0.2290679304897314,0.8572222222222223,0.0485933503836317,0.0,0.718
01-01 06:00,0.02,0.2385466034755134,0.9533333333333334,0.0716112531969309,0.0,0.7220000000000001
01-01 07:00,0.048,0.2464454976303317,0.9008333333333334,0.0613810741687979,0.0,0.73
01-01 08:00,0.044,0.2701421800947867,0.8758333333333334,0.0895140664961636,0.0,0.675
01-01 09:00,0.032,0.2875197472353871,0.8252777777777779,0.0639386189258312,0.0,0.66
01-01 10:00,0.02,0.2985781990521327,0.9169444444444446,0.0716112531969309,0.0,0.6489999999999999
01-01 11:00,0.048,0.3191153238546603,0.8175000000000001,0.0511508951406649,0.0,0.627
01-01 12:00,0.044,0.3080568720379147,0.9063888888888888,0.0613810741687979,0.0,0.611
01-01 13:00,0.032,0.3317535545023697,0.7280555555555557,0.0306905370843989,0.0,0.5559999999999999
01-01 14:00,0.024,0.320695102685624,0.9530555555555555,0.0460358056265984,0.0,0.578
01-01 15:00,0.024,0.3001579778830964,0.2930555555555555,0.0562659846547314,0.0,0.621
01-01 16:00,0.028,0.2764612954186414,0.1830555555555555,0.0179028132992327,0.0,0.6789999999999999
01-01 17:00,0.032,0.2638230647709321,0.2288888888888889,0.0153452685421994,0.0,0.744
01-01 18:00,0.048,0.2748815165876777,0.2325,0.0332480818414322,0.0,0.685
01-01 19:00,0.06,0.2701421800947867,0.2155555555555555,0.0511508951406649,0.0,0.6289999999999999
01-01 20:00,0.076,0.2748815165876777,0.2230555555555555,0.0613810741687979,0.0,0.632
01-01 21:00,0.084,0.2859399684044234,0.2169444444444444,0.0639386189258312,0.0,0.672
01-01 22:00,0.08,0.2906793048973144,0.2208333333333333,0.0562659846547314,0.0,0.8130000000000001
01-01 23:00,0.088,0.296998420221169,0.2641666666666666,0.0409207161125319,0.0,0.8839999999999999
01-02 00:00,0.096,0.3033175355450237,0.1897222222222222,0.0613810741687979,0.0,0.907
01-02 01:00,0.08,0.311216429699842,0.2022222222222222,0.0613810741687979,0.0,0.921
01-02 02:00,0.088,0.3175355450236967,0.2397222222222222,0.0383631713554987,0.0,0.925
01-02 03:00,0.088,0.3238546603475514,0.1947222222222222,0.0409207161125319,0.0,0.923
01-02 04:00,0.092,0.3270142180094787,0.2580555555555556,0.0383631713554987,0.0,0.921
01-02 05:00,0.088,0.3238546603475514,0.3516666666666667,0.0153452685421994,0.0,0.913
01-02 06:00,0.104,0.3127962085308057,0.0,0.0051150895140664,0.0,0.924
01-02 07:00,0.12,0.3412322274881517,0.0,0.0,0.0,0.925
01-02 08:00,0.136,0.4123222748815166,0.0,0.0025575447570332,0.0,0.703
01-02 09:00,0.156,0.4407582938388626,0.0,0.0076726342710997,0.0,0.589
01-02 10:00,0.172,0.4581358609794629,0.75,0.0767263427109974,0.0,0.482
01-02 11:00,0.168,0.4644549763033175,0.7469444444444444,0.0741687979539642,0.0,0.476
01-02 12:00,0.156,0.4628751974723539,0.7475,0.0741687979539642,0.0,0.474
01-02 13:00,0.136,0.4549763033175356,0.8166666666666667,0.0716112531969309,0.0,0.508
01-02 14:00,0.124,0.4533965244865719,0.7216666666666667,0.0409207161125319,0.0,0.537
01-02 15:00,0.124,0.4391785150078989,0.7447222222222223,0.0358056265984654,0.0,0.5740000000000001
01-02 16:00,0.136,0.3854660347551343,0.0,0.0,0.0,0.75
01-02 17:00,0.16,0.3696682464454977,0.0,0.0102301790281329,0.0,0.812
01-02 18:00,0.188,0.3570300157977883,0.0,0.0102301790281329,0.0,0.8470000000000001
01-02 19:00,0.2,0.3475513428120063,0.2808333333333333,0.0127877237851662,0.0,0.861
01-02 20:00,0.22,0.339652448657188,0.0,0.0102301790281329,0.0,0.8720000000000001
01-02 21:00,0.26,0.3665086887835703,0.2191666666666667,0.0434782608695652,0.0,0.771
01-02 22:00,0.228,0.3617693522906793,0.2702777777777778,0.0332480818414322,0.0,0.776
01-02 23:00,,0.3570300157977883,0.2344444444444444,0.0460358056265984,0.0,0.7889999999999999
01-03 00:00,,0.363349131121643,0.2391666666666666,0.0409207161125319,0.0,0.754
01-03 01:00,,0.3475513428120063,0.4305555555555556,0.0127877237851662,0.0,0.778
01-03 02:00,,0.3522906793048973,0.2613888888888889,0.0358056265984654,0.0,0.7739999999999999
01-03 03:00,,0.3601895734597157,0.2391666666666666,0.0434782608695652,0.0,0.77
01-03 04:00,0.2,0.3570300157977883,0.2691666666666666,0.0409207161125319,0.0,0.7689999999999999
01-03 05:00,0.204,0.3522906793048973,0.2375,0.0562659846547314,0.0,0.7889999999999999
01-03 06:00,0.2,0.3570300157977883,0.2238888888888889,0.0716112531969309,0.0,0.798
01-03 07:00,0.2,0.3759873617693523,0.22,0.0716112531969309,0.0,0.724
01-03 08:00,0.216,0.4139020537124803,0.2802777777777778,0.0409207161125319,0.0,0.638
01-03 09:00,0.204,0.4375987361769353,0.3922222222222222,0.0485933503836317,0.0,0.627
01-03 10:00,,0.4344391785150079,0.3666666666666667,0.0767263427109974,0.0,0.6589999999999999
01-03 11:00,,0.4533965244865719,0.4433333333333333,0.0767263427109974,0.0,0.626
01-03 12:00,,0.4454976303317536,0.3808333333333333,0.0920716112531969,0.0,0.636
01-03 13:00,0.128,0.4486571879936809,0.3613888888888888,0.0997442455242966,0.0,0.61
01-03 14:00,0.128,0.4470774091627172,0.4102777777777777,0.0818414322250639,0.0,0.64
01-03 15:00,0.128,0.4486571879936809,0.3775,0.0843989769820971,0.0,0.6489999999999999
01-03 16:00,,0.4360189573459716,0.3219444444444445,0.0358056265984654,0.0,0.7000000000000001
01-03 17:00,,0.4360189573459716,0.2263888888888889,0.0306905370843989,0.0,0.721
01-03 18:00,,0.4391785150078989,0.2680555555555555,0.0537084398976982,0.0,0.7170000000000001
01-03 19:00,,0.4375987361769353,0.2897222222222222,0.0690537084398977,0.0,0.7150000000000001
01-03 20:00,,0.4439178515007899,0.2994444444444444,0.0485933503836317,0.0,0.718
01-03 21:00,,0.4581358609794629,0.4480555555555556,0.0716112531969309,0.0,0.719
01-03 22:00,,0.4565560821484992,0.5325,0.0434782608695652,0.0,0.745
01-03 23:00,,0.4486571879936809,0.5444444444444445,0.0306905370843989,0.0,0.8039999999999999
01-04 00:00,,0.4486571879936809,0.4588888888888889,0.0358056265984654,0.0,0.8520000000000001
01-04 01:00,,0.4470774091627172,0.1783333333333333,0.0153452685421994,0.0,0.874
01-04 02:00,,0.4518167456556082,0.3716666666666667,0.0230179028132992,0.0,0.8939999999999999
01-04 03:00,,0.4518167456556082,0.9619444444444444,0.0204603580562659,0.0,0.915
01-04 04:00,,0.4628751974723539,0.7763888888888889,0.0383631713554987,0.0,0.912
01-04 05:00,,0.4486571879936809,0.8155555555555557,0.0460358056265984,0.0,0.891
01-04 06:00,0.148,0.4139020537124803,0.8666666666666667,0.0204603580562659,0.0,0.917
01-04 07:00,0.136,0.4391785150078989,0.8191666666666666,0.0306905370843989,0.0,0.936
01-04 08:00,0.148,0.4786729857819906,0.7752777777777778,0.0383631713554987,0.0,0.755
01-04 09:00,0.164,0.4834123222748815,0.831388888888889,0.0843989769820971,0.0,0.6950000000000001
01-04 10:00,0.148,0.4897314375987362,0.7905555555555557,0.0690537084398977,0.0,0.685
01-04 11:00,0.16,0.4849921011058452,0.8066666666666666,0.0741687979539642,0.0,0.6809999999999999
01-04 12:00,0.192,0.4944707740916272,0.7858333333333333,0.0716112531969309,0.0,0.576
01-04 13:00,0.204,0.5039494470774092,0.8005555555555556,0.0434782608695652,0.0,0.498
01-04 14:00,0.22,0.4944707740916272,0.8891666666666668,0.0562659846547314,0.0,0.4409999999999999
01-04 15:00,0.244,0.4834123222748815,0.9961111111111112,0.0255754475703324,0.0,0.502
01-04 16:00,0.284,0.4391785150078989,0.6311111111111111,0.0204603580562659,0.0,0.633
01-04 17:00,0.316,0.4186413902053713,0.0,0.0076726342710997,0.0,0.706
01-04 18:00,0.332,0.4123222748815166,0.0,0.0102301790281329,0.0,0.619
01-04 19:00,0.348,0.4044233807266983,0.8211111111111112,0.0179028132992327,0.0,0.719
01-04 20:00,0.384,0.3996840442338073,0.0,0.0,0.0,0.728
01-04 21:00,0.392,0.3838862559241706,0.2769444444444444,0.0204603580562659,0.0,0.758
01-04 22:00,0.396,0.3744075829383886,0.0,0.0051150895140664,0.0,0.798
01-04 23:00,0.392,0.368088467614534,0.2291666666666666,0.0179028132992327,0.0,0.831
01-05 00:00,,0.3601895734597157,0.3230555555555555,0.0127877237851662,0.0,0.876
01-05 01:00,,0.3696682464454977,0.0,0.0025575447570332,0.0,0.8720000000000001
01-05 02:00,0.396,0.39652448657188,0.2825,0.0332480818414322,0.0,0.844
01-05 03:00,0.392,0.3996840442338073,0.3172222222222222,0.0230179028132992,0.0,0.876
01-05 04:00,0.396,0.4091627172195893,0.2877777777777778,0.0383631713554987,0.0,0.905
