date,PM,temperature,direction,velocity,rain,humidity
01-01 00:00,,0.1911532385466034,0.0830555555555555,0.0767263427109974,0.0,0.501
01-01 01:00,,0.1848341232227488,0.0866666666666666,0.0485933503836317,0.0,0.547
01-01 02:00,,0.1816745655608214,0.0872222222222222,0.0255754475703324,0.0,0.5700000000000001
01-01 03:00,,0.1737756714060031,0.4247222222222223,0.0281329923273657,0.0,0.627
01-01 04:00,,0.1706161137440758,0.0,0.0102301790281329,0.0,0.689
01-01 05:00,,0.1706161137440758,0.3319444444444444,0.0383631713554987,0.0,0.7100000000000001
01-01 06:00,,0.1769352290679305,0.3202777777777778,0.0127877237851662,0.0,0.7170000000000001
01-01 07:00,,0.1879936808846761,0.1463888888888889,0.0255754475703324,0.0,0.6970000000000001
01-01 08:00,,0.1974723538704581,0.0683333333333333,0.0179028132992327,0.0,0.635
01-01 09:00,,0.2211690363349131,0.9733333333333332,0.0127877237851662,0.0,0.5650000000000001
01-01 10:00,,0.2227488151658767,0.9883333333333334,0.0383631713554987,0.0,0.547
01-01 11:00,,0.2369668246445497,0.0338888888888888,0.0358056265984654,0.0,0.5609999999999999
01-01 12:00,,0.2638230647709321,0.7669444444444445,0.0230179028132992,0.0,0.533
01-01 13:00,,0.278041074249605,0.638888888888889,0.0332480818414322,0.0,0.517
01-01 14:00,,0.273301737756714,0.5425000000000001,0.0306905370843989,0.0,0.504
01-01 15:00,,0.2764612954186414,0.5805555555555556,0.0306905370843989,0.0,0.476
01-01 16:00,,0.2353870458135861,0.5469444444444445,0.0204603580562659,0.0,0.596
01-01 17:00,,0.2559241706161137,0.4591666666666667,0.0179028132992327,0.0,0.537
01-01 18:00,,0.2543443917851501,0.5186111111111111,0.0358056265984654,0.0,0.611
01-01 19:00,,0.2654028436018957,0.5694444444444444,0.0383631713554987,0.0,0.548
01-01 20:00,,0.2685624012638231,0.3752777777777777,0.0383631713554987,0.0,0.5359999999999999
01-01 21:00,,0.278041074249605,0.3505555555555555,0.0434782608695652,0.0,0.475
01-01 22:00,0.156,0.2796208530805687,0.3255555555555556,0.0613810741687979,0.0,0.475
01-01 23:00,0.156,0.278041074249605,0.2997222222222222,0.0460358056265984,0.0,0.5700000000000001
01-02 00:00,0.156,0.2701421800947867,0.3255555555555556,0.0511508951406649,0.0,0.665
01-02 01:00,,0.2669826224328594,0.3608333333333333,0.0588235294117647,0.0,0.689
01-02 02:00,,0.2685624012638231,0.3294444444444444,0.0409207161125319,0.0,0.704
01-02 03:00,,0.2717219589257504,0.3444444444444444,0.0434782608695652,0.0,0.713
01-02 04:00,,0.273301737756714,0.3183333333333333,0.0383631713554987,0.0,0.719
01-02 05:00,,0.2748815165876777,0.3036111111111111,0.0434782608695652,0.0,0.735
01-02 06:00,,0.2796208530805687,0.2638888888888889,0.0204603580562659,0.0,0.726
01-02 07:00,,0.292259083728278,0.0,0.0,0.0,0.7170000000000001
01-02 08:00,,0.3033175355450237,0.3738888888888889,0.0511508951406649,0.0,0.6709999999999999
01-02 09:00,0.208,0.3364928909952607,0.4041666666666667,0.0281329923273657,0.0,0.618
01-02 10:00,0.208,0.3428120063191153,0.0336111111111111,0.0255754475703324,0.0,0.626
01-02 11:00,0.208,0.353870458135861,0.9941666666666666,0.0485933503836317,0.0,0.63
01-02 12:00,0.208,0.3665086887835703,0.0022222222222222,0.0460358056265984,0.0,0.645
01-02 13:00,0.212,0.3854660347551343,0.9561111111111112,0.0153452685421994,0.0,0.609
01-02 14:00,0.236,0.3744075829383886,0.0063888888888888,0.0204603580562659,0.0,0.628
01-02 15:00,0.26,0.3570300157977883,0.9833333333333334,0.0332480818414322,0.0,0.6539999999999999
01-02 16:00,0.268,0.3570300157977883,0.1422222222222222,0.0179028132992327,0.0,0.6809999999999999
01-02 17:00,0.264,0.3522906793048973,0.3283333333333333,0.0230179028132992,0.0,0.7020000000000001
01-02 18:00,0.396,0.325434439178515,0.0,0.0076726342710997,0.0,0.725
01-02 19:00,0.396,0.296998420221169,0.5475,0.0255754475703324,0.0,0.824
01-02 20:00,0.352,0.2954186413902054,0.0,0.0,0.0,0.854
01-02 21:00,0.324,0.2875197472353871,0.5163888888888889,0.0332480818414322,0.0,0.861
01-02 22:00,0.316,0.2843601895734597,0.1738888888888889,0.0153452685421994,0.0,0.864
01-02 23:00,0.304,0.2796208530805687,0.6961111111111111,0.0127877237851662,0.0,0.863
01-03 00:00,0.356,0.2369668246445497,0.0,0.0,0.0,0.851
01-03 01:00,0.36,0.2243285939968404,0.0,0.0051150895140664,0.0,0.8270000000000001
01-03 02:00,0.324,0.2069510268562401,0.0,0.0076726342710997,0.0,0.8150000000000001
01-03 03:00,0.328,0.2417061611374407,0.3183333333333333,0.0306905370843989,0.0,0.8270000000000001
01-03 04:00,0.336,0.2306477093206951,0.0,0.0051150895140664,0.0,0.8250000000000001
01-03 05:00,0.328,0.2101105845181674,0.0,0.0076726342710997,0.0,0.8150000000000001
01-03 06:00,0.316,0.2322274881516587,0.0,0.0025575447570332,0.0,0.8220000000000001
01-03 07:00,0.336,0.2638230647709321,0.9163888888888888,0.0230179028132992,0.0,0.836
01-03 08:00,0.328,0.2906793048973144,0.9341666666666668,0.0255754475703324,0.0,0.853
01-03 09:00,,0.339652448657188,0.0172222222222222,0.0153452685421994,0.0,0.874
01-03 10:00,0.296,0.372827804107425,0.035,0.0230179028132992,0.0,0.704
01-03 11:00,0.324,0.4391785150078989,0.4744444444444445,0.0332480818414322,0.0,0.492
01-03 12:00,0.272,0.4439178515007899,0.3538888888888889,0.0562659846547314,0.0,0.5
01-03 13:00,0.272,0.4486571879936809,0.3461111111111111,0.0255754475703324,0.0,0.469
01-03 14:00,0.272,0.4565560821484992,0.3622222222222223,0.0664961636828644,0.0,0.45
01-03 15:00,0.248,0.4423380726698263,0.3941666666666667,0.0741687979539642,0.0,0.486
01-03 16:00,0.224,0.4312796208530806,0.3813888888888889,0.0690537084398977,0.0,0.529
01-03 17:00,0.196,0.4296998420221169,0.3452777777777778,0.0434782608695652,0.0,0.545
01-03 18:00,0.2,0.4233807266982622,0.5027777777777778,0.0358056265984654,0.0,0.589
01-03 19:00,0.248,0.4360189573459716,0.425,0.0588235294117647,0.0,0.533
01-03 20:00,0.316,0.4407582938388626,0.4227777777777777,0.0511508951406649,0.0,0.5559999999999999
01-03 21:00,0.28,0.4249605055292259,0.4355555555555556,0.0562659846547314,0.0,0.606
01-03 22:00,0.248,0.4075829383886256,0.5116666666666666,0.0204603580562659,0.0,0.66
01-03 23:00,0.256,0.4249605055292259,0.4877777777777777,0.0485933503836317,0.0,0.6639999999999999
01-04 00:00,0.268,0.4423380726698263,0.5213888888888889,0.0843989769820971,0.0,0.648
01-04 01:00,0.256,0.4328593996840443,0.5652777777777778,0.0613810741687979,0.0,0.7120000000000001
01-04 02:00,0.24,0.4454976303317536,0.585,0.0843989769820971,0.0,0.738
01-04 03:00,0.252,0.4470774091627172,0.5641666666666667,0.0792838874680307,0.0,0.741
01-04 04:00,0.232,0.4470774091627172,0.5688888888888889,0.0818414322250639,0.0,0.778
01-04 05:00,0.168,0.4344391785150079,0.5975,0.0332480818414322,0.0,0.8270000000000001
01-04 06:00,0.104,0.4391785150078989,0.6536111111111111,0.0511508951406649,0.0,0.8570000000000001
01-04 07:00,0.108,0.4533965244865719,0.6994444444444445,0.0409207161125319,0.0,0.8470000000000001
01-04 08:00,0.148,0.4707740916271722,0.5577777777777778,0.0230179028132992,0.0,0.77
01-04 09:00,0.224,0.4881516587677725,0.8291666666666667,0.0306905370843989,0.0,0.628
01-04 10:00,0.152,0.4834123222748815,0.9366666666666666,0.0792838874680307,0.0,0.591
01-04 11:00,0.16,0.4660347551342812,0.0144444444444444,0.0869565217391304,0.0,0.633
01-04 12:00,0.256,0.4628751974723539,0.0186111111111111,0.0792838874680307,0.0,0.647
01-04 13:00,0.188,0.4612954186413902,0.0075,0.0792838874680307,0.0,0.616
01-04 14:00,,0.4660347551342812,0.0125,0.0358056265984654,0.0,0.5650000000000001
01-04 15:00,,0.4423380726698263,0.0244444444444444,0.0792838874680307,0.0,0.559
01-04 16:00,0.452,0.4265402843601896,0.1013888888888888,0.0460358056265984,0.0,0.607
01-04 17:00,0.412,0.4186413902053713,0.0377777777777777,0.0358056265984654,0.0,0.611
01-04 18:00,0.468,0.4123222748815166,0.1974999999999999,0.0179028132992327,0.0,0.653
01-04 19:00,0.476,0.4075829383886256,0.0,0.0025575447570332,0.0,0.633
01-04 20:00,0.464,0.3949447077409163,0.9736111111111112,0.0306905370843989,0.0,0.718
01-04 21:00,0.456,0.3838862559241706,0.2444444444444444,0.0127877237851662,0.0,0.7989999999999999
01-04 22:00,0.476,0.3712480252764613,0.4786111111111111,0.0153452685421994,0.0,0.834
01-04 23:00,0.48,0.3665086887835703,0.0,0.0025575447570332,0.0,0.8320000000000001
01-05 00:00,0.476,0.3617693522906793,0.0183333333333333,0.0204603580562659,0.0,0.853
01-05 01:00,0.468,0.3601895734597157,0.0,0.0102301790281329,0.0,0.861
01-05 02:00,0.46,0.3617693522906793,0.4797222222222222,0.0383631713554987,0.0,0.8670000000000001
01-05 03:00,0.4,0.3665086887835703,0.6052777777777778,0.0153452685421994,0.0,0.864
01-05 04:00,0.404,0.3791469194312796,0.4313888888888889,0.0358056265984654,0.0,0.855
01-05 05:00,0.412,0.3791469194312796,0.9744444444444446,0.0230179028132992,0.0,0.8320000000000001
01-05 06:00,0.408,0.377567140600316,0.0044444444444444,0.0281329923273657,0.0,0.861
