date,PM,temperature,direction,velocity,rain,humidity
01-01 00:00,0.044,0.1579778830963665,0.0125,0.0127877237851662,0.0,0.615
01-01 01:00,0.04,0.1532385466034755,0.0,0.0076726342710997,0.0,0.593
01-01 02:00,0.048,0.1374407582938388,0.0,0.0102301790281329,0.0,0.6739999999999999
01-01 03:00,0.056,0.1153238546603475,0.0,0.0102301790281329,0.0,0.7050000000000001
01-01 04:00,0.048,0.1121642969984201,0.0,0.0,0.0,0.7320000000000001
01-01 05:00,0.04,0.1216429699842022,0.0,0.0051150895140664,0.0,0.75
01-01 06:00,0.064,0.1153238546603475,0.0,0.0076726342710997,0.0,0.7589999999999999
01-01 07:00,0.084,0.1248025276461295,0.0,0.0,0.0,0.751
01-01 08:00,0.12,0.1690363349131121,0.6141666666666666,0.0179028132992327,0.0,0.612
01-01 09:00,0.1,0.1864139020537125,0.6291666666666667,0.0358056265984654,0.0,0.56
01-01 10:00,0.068,0.2101105845181674,0.6547222222222222,0.0204603580562659,0.0,0.553
01-01 11:00,0.076,0.2322274881516587,0.745,0.0383631713554987,0.0,0.573
01-01 12:00,0.076,0.2401263823064771,0.7477777777777778,0.0332480818414322,0.0,0.517
01-01 13:00,0.104,,,,,
01-01 14:00,0.084,,,,,
01-01 15:00,0.064,,,,,
01-01 16:00,0.08,,,,,
01-01 17:00,0.096,,,,,
01-01 18:00,0.068,,,,,
01-01 19:00,0.056,,,,,
01-01 20:00,0.048,,,,,
01-01 21:00,0.048,,,,,
01-01 22:00,0.048,,,,,
01-01 23:00,0.044,0.2543443917851501,0.0691666666666666,0.0179028132992327,0.0,0.8770000000000001
01-02 00:00,0.068,0.2543443917851501,0.0,0.0076726342710997,0.0,0.8889999999999999
01-02 01:00,0.052,0.2575039494470774,0.0,0.0076726342710997,0.0,0.883
01-02 02:00,0.056,0.2606635071090047,0.0,0.0076726342710997,0.0,0.858
01-02 03:00,0.056,0.2575039494470774,0.0,0.0076726342710997,0.0,0.907
01-02 04:00,0.072,0.2575039494470774,0.0119444444444444,0.0127877237851662,0.0,0.911
01-02 05:00,0.072,0.2606635071090047,0.0525,0.0179028132992327,0.0,0.911
01-02 06:00,0.068,0.2654028436018957,0.0283333333333333,0.0127877237851662,0.0,0.917
01-02 07:00,0.1,0.2701421800947867,0.0,0.0076726342710997,0.0,0.909
01-02 08:00,0.116,0.282780410742496,0.0,0.0025575447570332,0.0,0.881
01-02 09:00,0.124,0.3080568720379147,0.0583333333333333,0.0230179028132992,0.0,0.8370000000000001
01-02 10:00,0.116,0.3175355450236967,0.9972222222222222,0.0230179028132992,0.0,0.828
01-02 11:00,0.136,0.3270142180094787,0.0338888888888888,0.0306905370843989,0.0,0.8039999999999999
01-02 12:00,0.24,0.3428120063191153,0.0652777777777777,0.0179028132992327,0.0,0.7939999999999999
01-02 13:00,0.244,0.34913112164297,0.0291666666666666,0.0179028132992327,0.0,0.785
01-02 14:00,0.248,0.3617693522906793,0.0269444444444444,0.0204603580562659,0.0,0.761
01-02 15:00,0.296,0.3522906793048973,0.1011111111111111,0.0127877237851662,0.0,0.792
01-02 16:00,0.284,0.3317535545023697,0.0716666666666666,0.0179028132992327,0.0,0.843
01-02 17:00,0.296,0.3222748815165877,0.0,0.0102301790281329,0.0,0.8520000000000001
01-02 18:00,0.252,0.3143759873617693,0.2552777777777778,0.0230179028132992,0.0,0.866
01-02 19:00,0.256,0.2954186413902054,0.0,0.0025575447570332,0.0,0.8989999999999999
01-02 20:00,0.268,0.2890995260663507,0.0,0.0025575447570332,0.0,0.923
01-02 21:00,0.264,0.278041074249605,0.0,0.0025575447570332,0.0,0.935
01-02 22:00,0.276,0.278041074249605,0.0969444444444444,0.0127877237851662,0.0,0.943
01-02 23:00,0.256,0.2685624012638231,0.0,0.0102301790281329,0.0,0.944
01-03 00:00,0.296,0.273301737756714,0.1786111111111111,0.0179028132992327,0.0,0.95
01-03 01:00,0.328,0.2480252764612954,0.0,0.0,0.0,0.944
01-03 02:00,0.292,0.2401263823064771,0.0,0.0102301790281329,0.0,0.95
01-03 03:00,0.328,0.2274881516587678,0.0,0.0025575447570332,0.0,0.943
01-03 04:00,0.308,0.2401263823064771,0.0,0.0025575447570332,0.0,0.946
01-03 05:00,0.28,0.2464454976303317,0.0,0.0076726342710997,0.0,0.945
01-03 06:00,0.248,0.2543443917851501,0.0,0.0102301790281329,0.0,0.947
01-03 07:00,0.244,0.2638230647709321,0.0,0.0102301790281329,0.0,0.94
01-03 08:00,0.224,0.311216429699842,0.0,0.0051150895140664,0.0,0.928
01-03 09:00,0.208,0.3601895734597157,0.0,0.0025575447570332,0.0,0.78
01-03 10:00,0.196,0.4107424960505529,0.0,0.0102301790281329,0.0,0.673
01-03 11:00,0.192,,,,,
01-03 12:00,0.184,,,,,
01-03 13:00,0.168,,,,,
01-03 14:00,0.168,,,,,
01-03 15:00,0.176,,,,,
01-03 16:00,0.16,,,,,
01-03 17:00,0.16,,,,,
01-03 18:00,0.152,,,,,
01-03 19:00,0.172,,,,,
01-03 20:00,0.176,,,,,
01-03 21:00,0.14,,,,,
01-03 22:00,0.144,,,,,
01-03 23:00,0.136,0.4360189573459716,0.6794444444444444,0.0204603580562659,0.0,0.735
01-04 00:00,0.148,0.4360189573459716,0.6411111111111112,0.0281329923273657,0.0,0.75
01-04 01:00,0.136,0.4360189573459716,0.0,0.0102301790281329,0.0,0.7789999999999999
01-04 02:00,0.132,0.4233807266982622,0.6663888888888889,0.0179028132992327,0.0,0.843
01-04 03:00,0.108,,,,,
01-04 04:00,0.108,,,,,
01-04 05:00,0.112,,,,,
01-04 06:00,0.088,,,,,
01-04 07:00,0.104,,,,,
01-04 08:00,0.132,,,,,
01-04 09:00,0.144,,,,,
01-04 10:00,0.152,,,,,
01-04 11:00,0.14,,,,,
01-04 12:00,0.208,,,,,
01-04 13:00,0.26,,,,,
01-04 14:00,0.28,,,,,
01-04 15:00,0.3,,,,,
01-04 16:00,0.348,,,,,
01-04 17:00,0.308,,,,,
01-04 18:00,0.348,,,,,
01-04 19:00,0.384,,,,,
01-04 20:00,0.352,,,,,
01-04 21:00,0.312,,,,,
01-04 22:00,0.324,,,,,
01-04 23:00,0.34,0.3522906793048973,0.0,0.0051150895140664,0.0,0.861
01-05 00:00,0.356,0.34913112164297,0.0,0.0,0.0,0.86
01-05 01:00,0.316,0.3475513428120063,0.6597222222222222,0.0127877237851662,0.0,0.879
01-05 02:00,0.324,0.3522906793048973,0.0,0.0025575447570332,0.0,0.893
01-05 03:00,0.296,0.3617693522906793,0.0,0.0102301790281329,0.0,0.895
01-05 04:00,0.288,0.368088467614534,0.0,0.0102301790281329,0.0,0.879
01-05 05:00,0.308,0.368088467614534,0.0,0.0051150895140664,0.0,0.887
01-05 06:00,0.284,0.3759873617693523,0.065,0.0127877237851662,0.0,0.86
01-05 07:00,0.312,0.3886255924170616,0.0,0.0,0.0,0.8450000000000001
01-05 08:00,0.388,0.4075829383886256,0.0,0.0102301790281329,0.0,0.8059999999999999
01-05 09:00,0.448,0.4344391785150079,0.0,0.0025575447570332,0.0,0.744
01-05 10:00,0.496,0.4502369668246446,0.0,0.0051150895140664,0.0,0.741
01-05 11:00,0.392,0.4581358609794629,0.0,0.0025575447570332,0.0,0.733
01-05 12:00,0.424,0.4612954186413902,0.0,0.0102301790281329,0.0,0.74
01-05 13:00,0.388,0.4723538704581359,0.6997222222222222,0.0153452685421994,0.0,0.733
01-05 14:00,0.34,0.4597156398104265,0.2747222222222222,0.0485933503836317,0.0,0.772
01-05 15:00,0.32,0.4423380726698263,0.2252777777777777,0.0127877237851662,0.0,0.866
01-05 16:00,0.4,0.4391785150078989,0.6513888888888889,0.0127877237851662,0.0,0.914
01-05 17:00,0.412,0.4454976303317536,0.6691666666666667,0.0230179028132992,0.0,0.902
01-05 18:00,0.264,0.4360189573459716,0.0,0.0102301790281329,0.0,0.92
01-05 19:00,0.2,0.4360189573459716,0.0,0.0025575447570332,0.0,0.922
01-05 20:00,0.196,0.4265402843601896,0.0,0.0051150895140664,0.0,0.955
01-05 21:00,0.228,0.4202211690363349,0.0,0.0025575447570332,0.0,0.948
01-05 22:00,0.232,0.4170616113744076,0.0,0.0025575447570332,0.0,0.949
01-05 23:00,0.224,0.4154818325434439,0.0,0.0051150895140664,0.0,0.946
01-06 00:00,0.28,0.4154818325434439,0.0,0.0051150895140664,0.0,0.948
01-06 01:00,0.328,0.4107424960505529,0.0,0.0025575447570332,0.0056818181818181,0.961
01-06 02:00,0.332,0.4075829383886256,0.0,0.0102301790281329,0.0170454545454545,0.972
01-06 03:00,0.324,0.4044233807266983,0.0,0.0051150895140664,0.0113636363636363,0.976
01-06 04:00,0.324,0.406003159557662,0.0725,0.0127877237851662,0.0056818181818181,0.977
01-06 05:00,0.356,0.406003159557662,0.0,0.0076726342710997,0.0056818181818181,0.978
01-06 06:00,0.344,0.4075829383886256,0.5852777777777778,0.0179028132992327,0.0,0.976
01-06 07:00,0.288,0.4075829383886256,0.0,0.0102301790281329,0.0,0.975
01-06 08:00,0.292,0.4202211690363349,0.2902777777777778,0.0127877237851662,0.0,0.969
01-06 09:00,0.32,0.4328593996840443,0.7305555555555556,0.0127877237851662,0.0,0.937
01-06 10:00,0.304,0.4407582938388626,0.0,0.0102301790281329,0.0,0.928
01-06 11:00,0.264,0.4581358609794629,0.6477777777777778,0.0230179028132992,0.0,0.866
01-06 12:00,0.284,0.4660347551342812,0.8866666666666667,0.0153452685421994,0.0,0.883
01-06 13:00,0.276,0.4628751974723539,0.6077777777777779,0.0153452685421994,0.0,0.871
01-06 14:00,0.312,0.4691943127962086,0.0,0.0051150895140664,0.0,0.855
01-06 15:00,0.236,0.4691943127962086,0.6741666666666667,0.0306905370843989,0.0,0.8520000000000001
01-06 16:00,0.2,0.4644549763033175,0.6419444444444444,0.0179028132992327,0.0,0.8720000000000001
01-06 17:00,0.252,0.4502369668246446,0.82,0.0255754475703324,0.0,0.888
01-06 18:00,0.304,0.4328593996840443,0.0,0.0025575447570332,0.0,0.844
01-06 19:00,0.376,0.4312796208530806,0.8194444444444445,0.0230179028132992,0.0,0.86
01-06 20:00,0.404,0.4281200631911532,0.920277777777778,0.0204603580562659,0.0,0.8150000000000001
01-06 21:00,0.312,0.4202211690363349,0.0,0.0102301790281329,0.0,0.8420000000000001
01-06 22:00,0.276,0.4281200631911532,0.0,0.0025575447570332,0.0,0.844
01-06 23:00,0.352,0.4328593996840443,0.66,0.0255754475703324,0.0,0.869
01-07 00:00,0.396,0.4312796208530806,0.9305555555555556,0.0153452685421994,0.0,0.875
01-07 01:00,0.396,0.4218009478672986,0.0,0.0051150895140664,0.0,0.924
01-07 02:00,0.404,0.4186413902053713,0.0,0.0,0.0,0.953
01-07 03:00,0.436,0.4123222748815166,0.0,0.0025575447570332,0.0,0.956
01-07 04:00,0.452,0.4139020537124803,0.5591666666666667,0.0127877237851662,0.0,0.957
01-07 05:00,0.456,0.406003159557662,0.0,0.0051150895140664,0.0,0.964
01-07 06:00,0.368,0.3917851500789889,0.0,0.0,0.0,0.968
01-07 07:00,0.292,0.3981042654028436,0.0558333333333333,0.0127877237851662,0.0,0.965
01-07 08:00,0.288,0.4107424960505529,0.0,0.0076726342710997,0.0,0.928
01-07 09:00,0.292,0.4249605055292259,0.0,0.0076726342710997,0.0,0.885
01-07 10:00,0.284,0.4328593996840443,0.8802777777777777,0.0153452685421994,0.0,0.8130000000000001
01-07 11:00,0.248,0.4439178515007899,0.8572222222222223,0.0306905370843989,0.0,0.693
01-07 12:00,0.22,0.4454976303317536,0.745,0.0230179028132992,0.0,0.656
01-07 13:00,0.18,0.4423380726698263,0.6844444444444445,0.0358056265984654,0.0,0.7000000000000001
01-07 14:00,0.176,0.4328593996840443,0.7827777777777778,0.0358056265984654,0.0,0.6839999999999999
01-07 15:00,0.22,0.4202211690363349,0.66,0.0485933503836317,0.0,0.6709999999999999
01-07 16:00,0.216,0.4107424960505529,0.875,0.0204603580562659,0.0,0.7220000000000001
01-07 17:00,0.216,0.401263823064771,0.8436111111111111,0.0179028132992327,0.0,0.753
01-07 18:00,0.188,0.3933649289099526,0.0,0.0102301790281329,0.0,0.8220000000000001
01-07 19:00,0.172,0.3902053712480253,0.0,0.0051150895140664,0.0,0.816
01-07 20:00,0.196,0.382306477093207,0.0,0.0025575447570332,0.0,0.838
01-07 21:00,0.22,0.3807266982622433,0.0,0.0025575447570332,0.0,0.829
01-07 22:00,0.224,0.3712480252764613,0.0,0.0051150895140664,0.0,0.8420000000000001
01-07 23:00,0.224,0.3617693522906793,0.0,0.0025575447570332,0.0,0.8620000000000001
