date,PM,temperature,direction,velocity,rain,humidity
01-01 00:00,0.044,0.1706161137440758,0.0533333333333333,0.0179028132992327,0.0,0.7639999999999999
01-01 01:00,0.048,0.1674565560821485,0.0994444444444444,0.0204603580562659,0.0,0.7589999999999999
01-01 02:00,0.06,0.1627172195892575,0.1341666666666666,0.0127877237851662,0.0,0.76
01-01 03:00,0.064,0.1579778830963665,0.0,0.0051150895140664,0.0,0.7470000000000001
01-01 04:00,0.064,0.1484992101105845,0.0,0.0076726342710997,0.0,0.7909999999999999
01-01 05:00,0.064,0.1421800947867298,0.0,0.0076726342710997,0.0,0.78
01-01 06:00,0.056,0.1279620853080568,0.0,0.0076726342710997,0.0,0.808
01-01 07:00,0.056,0.1548183254344391,0.0,0.0051150895140664,0.0,0.738
01-01 08:00,0.056,0.1911532385466034,0.5744444444444445,0.0204603580562659,0.0,0.615
01-01 09:00,0.048,0.2069510268562401,0.3311111111111111,0.0485933503836317,0.0,0.588
01-01 10:00,0.06,0.2338072669826224,0.1202777777777777,0.0358056265984654,0.0,0.555
01-01 11:00,0.052,0.282780410742496,0.0,0.0102301790281329,0.0,0.478
01-01 12:00,0.056,0.2812006319115324,0.1180555555555555,0.0332480818414322,0.0,0.453
01-01 13:00,0.048,0.2890995260663507,0.9247222222222222,0.0409207161125319,0.0,0.35
01-01 14:00,0.052,0.2906793048973144,0.9033333333333332,0.0460358056265984,0.0,0.294
01-01 15:00,0.036,0.273301737756714,0.165,0.0306905370843989,0.0,0.419
01-01 16:00,0.048,0.244865718799368,0.0,0.0102301790281329,0.0,0.521
01-01 17:00,0.052,0.2369668246445497,0.0,0.0025575447570332,0.0,0.532
01-01 18:00,0.044,0.2369668246445497,0.0,0.0102301790281329,0.0,0.5459999999999999
01-01 19:00,0.04,0.2559241706161137,0.8097222222222222,0.0127877237851662,0.0,0.548
01-01 20:00,0.048,0.2496050552922591,0.0,0.0051150895140664,0.0,0.591
01-01 21:00,0.044,0.2464454976303317,0.0,0.0025575447570332,0.0,0.66
01-01 22:00,0.048,0.2432859399684044,0.0,0.0102301790281329,0.0,0.7200000000000001
01-01 23:00,0.064,0.2432859399684044,0.0,0.0102301790281329,0.0,0.7100000000000001
01-02 00:00,0.08,0.2432859399684044,0.1513888888888889,0.0127877237851662,0.0,0.74
01-02 01:00,0.1,0.244865718799368,0.0,0.0076726342710997,0.0,0.797
01-02 02:00,0.104,0.2432859399684044,0.0,0.0025575447570332,0.0,0.829
01-02 03:00,0.088,0.244865718799368,0.0,0.0051150895140664,0.0,0.856
01-02 04:00,0.08,0.2480252764612954,0.0,0.0076726342710997,0.0,0.868
01-02 05:00,0.076,0.2496050552922591,0.0,0.0025575447570332,0.0,0.869
01-02 06:00,0.08,0.2496050552922591,0.0,0.0051150895140664,0.0,0.878
01-02 07:00,0.08,0.2622432859399684,0.0,0.0076726342710997,0.0,0.851
01-02 08:00,0.076,0.2796208530805687,0.0,0.0102301790281329,0.0,0.808
01-02 09:00,0.076,0.334913112164297,0.1847222222222222,0.0255754475703324,0.0,0.6809999999999999
01-02 10:00,0.068,0.363349131121643,0.1291666666666666,0.0153452685421994,0.0,0.615
01-02 11:00,0.084,0.39652448657188,0.1177777777777777,0.0204603580562659,0.0,0.558
01-02 12:00,0.092,0.39652448657188,0.1766666666666666,0.0281329923273657,0.0,0.558
01-02 13:00,0.104,0.3854660347551343,0.1125,0.0230179028132992,0.0,0.631
01-02 14:00,0.16,0.372827804107425,0.1383333333333333,0.0383631713554987,0.0,0.658
01-02 15:00,0.136,0.3617693522906793,0.1513888888888889,0.0409207161125319,0.0,0.7100000000000001
01-02 16:00,0.136,0.3364928909952607,0.0261111111111111,0.0179028132992327,0.0,0.771
01-02 17:00,0.124,0.3333333333333333,0.0625,0.0204603580562659,0.0,0.772
