date,PM,temperature,direction,velocity,rain,humidity
01-01 00:00,0.052,0.1769352290679305,0.0,0.0,0.0,0.831
01-01 01:00,0.064,0.1706161137440758,0.0,0.0,0.0,0.855
01-01 02:00,0.072,0.1911532385466034,0.135,0.0153452685421994,0.0,0.8109999999999999
01-01 03:00,0.072,0.1879936808846761,0.0,0.0102301790281329,0.0,0.766
01-01 04:00,0.052,0.1879936808846761,0.2838888888888889,0.0153452685421994,0.0,0.741
01-01 05:00,0.064,0.1500789889415481,0.0,0.0025575447570332,0.0,0.8109999999999999
01-01 06:00,0.072,0.1248025276461295,0.0,0.0076726342710997,0.0,0.8170000000000001
01-01 07:00,0.1,0.1469194312796208,0.4130555555555555,0.0179028132992327,0.0,0.808
01-01 08:00,0.064,0.2037914691943128,0.0,0.0025575447570332,0.0,0.6759999999999999
01-01 09:00,0.044,0.2195892575039494,0.6783333333333333,0.0230179028132992,0.0,0.594
01-01 10:00,0.052,0.2369668246445497,0.8524999999999999,0.0255754475703324,0.0,0.549
01-01 11:00,0.076,0.2559241706161137,0.9075,0.0255754475703324,0.0,0.507
01-01 12:00,0.056,0.2701421800947867,0.8827777777777779,0.0383631713554987,0.0,0.498
01-01 13:00,0.06,0.2796208530805687,0.0575,0.0434782608695652,0.0,0.479
01-01 14:00,0.064,0.2812006319115324,0.7894444444444444,0.0281329923273657,0.0,0.48
01-01 15:00,0.06,0.2543443917851501,0.0,0.0051150895140664,0.0,0.599
01-01 16:00,0.068,0.2290679304897314,0.0,0.0,0.0,0.723
01-01 17:00,0.088,0.2164296998420221,0.0,0.0025575447570332,0.0,0.765
01-01 18:00,0.108,0.2274881516587678,0.0,0.0,0.0,0.773
01-01 19:00,0.084,0.2464454976303317,0.0,0.0051150895140664,0.0,0.753
01-01 20:00,0.048,0.2622432859399684,0.0,0.0,0.0,0.7370000000000001
01-01 21:00,0.052,0.2638230647709321,0.0,0.0,0.0,0.768
