date,PM,temperature,direction,velocity,rain,humidity
01-01 00:00,0.052,0.2116903633491311,0.9530555555555555,0.0332480818414322,0.0,0.7909999999999999
01-01 01:00,0.088,0.2053712480252764,0.0455555555555555,0.0281329923273657,0.0,0.771
01-01 02:00,0.048,0.1990521327014218,0.8908333333333334,0.0281329923273657,0.0,0.733
01-01 03:00,0.052,0.1943127962085308,0.1141666666666666,0.0434782608695652,0.0,0.7739999999999999
01-01 04:00,0.088,0.1943127962085308,0.1308333333333333,0.0255754475703324,0.0,0.7000000000000001
01-01 05:00,0.064,0.1943127962085308,0.9077777777777778,0.0255754475703324,0.0,0.682
01-01 06:00,0.068,0.1816745655608214,0.0,0.0102301790281329,0.0,0.728
01-01 07:00,0.076,0.1943127962085308,0.5361111111111111,0.0153452685421994,0.0,0.7000000000000001
01-01 08:00,0.08,0.2369668246445497,0.49,0.0153452685421994,0.0,0.5800000000000001
01-01 09:00,0.068,0.2606635071090047,0.2727777777777778,0.0179028132992327,0.0,0.526
01-01 10:00,0.068,0.2764612954186414,0.6963888888888888,0.0409207161125319,0.0,0.421
01-01 11:00,0.064,0.2796208530805687,0.8027777777777778,0.0639386189258312,0.0,0.4009999999999999
01-01 12:00,0.04,0.2843601895734597,0.9855555555555556,0.0511508951406649,0.0,0.439
01-01 13:00,0.068,0.3080568720379147,0.7394444444444445,0.0409207161125319,0.0,0.382
01-01 14:00,0.06,0.3080568720379147,0.7027777777777778,0.0613810741687979,0.0,0.389
01-01 15:00,0.064,0.2938388625592417,0.7616666666666667,0.0332480818414322,0.0,0.384
01-01 16:00,0.052,0.2859399684044234,0.7744444444444445,0.0204603580562659,0.0,0.4009999999999999
01-01 17:00,0.06,0.2717219589257504,0.535,0.0230179028132992,0.0,0.469
01-01 18:00,0.048,0.2764612954186414,0.5491666666666667,0.0306905370843989,0.0,0.491
01-01 19:00,0.06,0.2717219589257504,0.8747222222222222,0.0179028132992327,0.0,0.5569999999999999
01-01 20:00,0.076,0.2764612954186414,0.0,0.0076726342710997,0.0,0.581
01-01 21:00,0.064,0.2812006319115324,0.8788888888888888,0.0127877237851662,0.0,0.577
01-01 22:00,0.064,0.2764612954186414,0.0,0.0076726342710997,0.0,0.601
01-01 23:00,0.068,0.2812006319115324,0.8575,0.0127877237851662,0.0,0.602
01-02 00:00,0.088,0.282780410742496,0.0,0.0102301790281329,0.0,0.617
01-02 01:00,0.084,0.2859399684044234,0.6866666666666666,0.0127877237851662,0.0,0.637
01-02 02:00,0.076,0.2890995260663507,0.5491666666666667,0.0230179028132992,0.0,0.638
01-02 03:00,0.06,0.2859399684044234,0.4316666666666667,0.0127877237851662,0.0,0.726
01-02 04:00,0.096,0.2906793048973144,0.6791666666666667,0.0153452685421994,0.0,0.77
01-02 05:00,0.072,0.2906793048973144,0.8711111111111112,0.0127877237851662,0.0,0.8009999999999999
01-02 06:00,0.064,0.2938388625592417,0.0,0.0076726342710997,0.0,0.8220000000000001
01-02 07:00,0.088,0.3096366508688783,0.0,0.0051150895140664,0.0,0.786
01-02 08:00,0.128,0.3333333333333333,0.895,0.0127877237851662,0.0,0.724
01-02 09:00,0.128,0.3854660347551343,0.6505555555555556,0.0332480818414322,0.0,0.65
01-02 10:00,0.136,0.4249605055292259,0.695,0.0460358056265984,0.0,0.573
01-02 11:00,0.108,0.4296998420221169,0.66,0.0664961636828644,0.0,0.547
01-02 12:00,0.12,0.4391785150078989,0.6458333333333334,0.0588235294117647,0.0,0.521
01-02 13:00,0.12,0.4533965244865719,0.6605555555555556,0.0613810741687979,0.0,0.486
01-02 14:00,0.148,0.4454976303317536,0.6433333333333333,0.0613810741687979,0.0,0.504
01-02 15:00,0.136,0.4265402843601896,0.6661111111111112,0.0485933503836317,0.0,0.549
01-02 16:00,0.144,0.3902053712480253,0.5105555555555557,0.0127877237851662,0.0,0.6639999999999999
01-02 17:00,0.152,0.3854660347551343,0.3105555555555556,0.0153452685421994,0.0,0.699
01-02 18:00,0.14,0.368088467614534,0.0,0.0102301790281329,0.0,0.753
01-02 19:00,0.144,0.34913112164297,0.0,0.0076726342710997,0.0,0.819
01-02 20:00,0.136,0.3459715639810427,0.0,0.0051150895140664,0.0,0.844
01-02 21:00,0.156,0.334913112164297,0.0,0.0051150895140664,0.0,0.858
01-02 22:00,0.144,0.3270142180094787,0.0,0.0,0.0,0.881
01-02 23:00,0.204,0.3143759873617693,0.0,0.0,0.0,0.886
01-03 00:00,0.172,0.311216429699842,0.0,0.0,0.0,0.893
01-03 01:00,0.16,0.3001579778830964,0.0,0.0,0.0,0.897
01-03 02:00,0.16,0.2890995260663507,0.0,0.0,0.0,0.901
01-03 03:00,0.216,0.2875197472353871,0.0,0.0,0.0,0.897
01-03 04:00,0.16,0.2859399684044234,0.0,0.0,0.0,0.898
01-03 05:00,0.172,0.273301737756714,0.0,0.0,0.0,0.8839999999999999
01-03 06:00,0.172,0.2764612954186414,0.0,0.0,0.0,0.8889999999999999
01-03 07:00,0.192,0.296998420221169,0.0,0.0076726342710997,0.0,0.88
01-03 08:00,0.176,0.3364928909952607,0.5766666666666667,0.0153452685421994,0.0,0.749
01-03 09:00,0.208,0.3791469194312796,0.8058333333333334,0.0153452685421994,0.0,0.665
01-03 10:00,0.196,0.4123222748815166,0.8944444444444445,0.0127877237851662,0.0,0.589
01-03 11:00,0.212,0.4502369668246446,0.9786111111111112,0.0230179028132992,0.0,0.509
01-03 12:00,0.164,0.4723538704581359,0.8736111111111111,0.0281329923273657,0.0,0.424
01-03 13:00,0.12,0.5055292259083729,0.6869444444444445,0.0588235294117647,0.0,0.4459999999999999
01-03 14:00,0.088,0.4834123222748815,0.7136111111111111,0.0332480818414322,0.0,0.519
01-03 15:00,0.076,0.4755134281200632,0.6694444444444445,0.0179028132992327,0.0,0.526
01-03 16:00,0.056,0.4739336492890995,0.4355555555555556,0.0358056265984654,0.0,0.538
01-03 17:00,0.1,0.4360189573459716,0.0,0.0076726342710997,0.0,0.6639999999999999
01-03 18:00,0.096,0.4281200631911532,0.0,0.0076726342710997,0.0,0.693
01-03 19:00,0.1,0.4233807266982622,0.2158333333333333,0.0127877237851662,0.0,0.7270000000000001
01-03 20:00,0.1,0.4233807266982622,0.0,0.0025575447570332,0.0,0.743
01-03 21:00,0.096,0.4139020537124803,0.0,0.0025575447570332,0.0,0.7689999999999999
01-03 22:00,0.14,0.4107424960505529,0.0,0.0076726342710997,0.0,0.78
01-03 23:00,0.144,0.4123222748815166,0.0,0.0025575447570332,0.0,0.781
01-04 00:00,0.084,0.4154818325434439,0.0,0.0076726342710997,0.0,0.787
01-04 01:00,0.108,0.4091627172195893,0.0,0.0076726342710997,0.0,0.81
01-04 02:00,0.124,0.4186413902053713,0.0,0.0,0.0,0.7939999999999999
01-04 03:00,0.14,0.4170616113744076,0.9333333333333332,0.0179028132992327,0.0,0.8130000000000001
01-04 04:00,0.14,0.4296998420221169,0.0,0.0051150895140664,0.0,0.819
01-04 05:00,0.128,0.4565560821484992,0.645,0.0204603580562659,0.0,0.8220000000000001
01-04 06:00,0.128,0.4549763033175356,0.0,0.0102301790281329,0.0,0.833
01-04 07:00,0.164,0.4770932069510269,0.653888888888889,0.0485933503836317,0.0,0.8
01-04 08:00,0.132,0.4944707740916272,0.6858333333333334,0.0613810741687979,0.0,0.766
01-04 09:00,0.08,0.4913112164296999,0.6772222222222223,0.0716112531969309,0.0,0.777
01-04 10:00,0.076,0.5086887835703002,0.7069444444444445,0.0537084398976982,0.0,0.6970000000000001
01-04 11:00,0.064,0.5292259083728279,0.6866666666666666,0.0639386189258312,0.0,0.6
01-04 12:00,0.064,0.5402843601895735,0.6308333333333334,0.0613810741687979,0.0,0.545
01-04 13:00,0.136,0.5402843601895735,0.631388888888889,0.0511508951406649,0.0,0.525
01-04 14:00,0.152,0.5450236966824645,0.6630555555555555,0.0230179028132992,0.0,0.52
01-04 15:00,0.148,0.5197472353870458,0.6275000000000001,0.0204603580562659,0.0,0.5609999999999999
01-04 16:00,0.172,0.4818325434439179,0.2986111111111111,0.0179028132992327,0.0,0.641
01-04 17:00,0.152,0.4676145339652449,0.3994444444444445,0.0179028132992327,0.0,0.6759999999999999
01-04 18:00,0.192,0.4549763033175356,0.0,0.0,0.0,0.713
01-04 19:00,0.172,0.4470774091627172,0.0,0.0051150895140664,0.0,0.758
01-04 20:00,0.14,0.4312796208530806,0.0,0.0025575447570332,0.0,0.7959999999999999
01-04 21:00,0.192,0.4233807266982622,0.0,0.0025575447570332,0.0,0.821
01-04 22:00,0.2,0.4139020537124803,0.0,0.0025575447570332,0.0,0.849
01-04 23:00,0.196,0.406003159557662,0.0,0.0102301790281329,0.0,0.879
01-05 00:00,0.16,0.3917851500789889,0.0,0.0025575447570332,0.0,0.905
01-05 01:00,0.16,0.3886255924170616,0.3138888888888889,0.0127877237851662,0.0,0.923
01-05 02:00,0.272,0.3870458135860979,0.0,0.0076726342710997,0.0,0.903
01-05 03:00,0.216,0.3933649289099526,0.0,0.0076726342710997,0.0,0.8889999999999999
01-05 04:00,0.212,0.406003159557662,0.0,0.0051150895140664,0.0,0.878
01-05 05:00,0.204,0.4028436018957346,0.0,0.0051150895140664,0.0,0.869
01-05 06:00,0.2,0.4091627172195893,0.6219444444444445,0.0179028132992327,0.0,0.86
01-05 07:00,0.216,0.4186413902053713,0.0,0.0076726342710997,0.0,0.8400000000000001
01-05 08:00,0.22,0.4360189573459716,0.0,0.0051150895140664,0.0,0.8170000000000001
01-05 09:00,0.276,0.4597156398104265,0.8936111111111111,0.0281329923273657,0.0,0.755
01-05 10:00,0.304,0.4786729857819906,0.0,0.0051150895140664,0.0,0.6809999999999999
01-05 11:00,0.316,0.4865718799368089,0.0,0.0025575447570332,0.0,0.6709999999999999
01-05 12:00,0.316,0.4960505529225908,0.0,0.0025575447570332,0.0,0.626
01-05 13:00,0.304,0.4960505529225908,0.9116666666666666,0.0153452685421994,0.0,0.622
01-05 14:00,0.276,0.4992101105845182,0.05,0.0409207161125319,0.0,0.5609999999999999
01-05 15:00,0.272,0.4644549763033175,0.3430555555555555,0.0409207161125319,0.0,0.829
01-05 16:00,0.16,0.4533965244865719,0.3563888888888889,0.0230179028132992,0.0056818181818181,0.91
01-05 17:00,0.12,0.4375987361769353,0.3663888888888889,0.0255754475703324,0.0284090909090909,0.906
01-05 18:00,0.108,0.4407582938388626,0.6975,0.0204603580562659,0.0056818181818181,0.913
01-05 19:00,0.108,0.4423380726698263,0.736388888888889,0.0153452685421994,0.0,0.929
01-05 20:00,0.092,0.4375987361769353,0.3380555555555555,0.0179028132992327,0.0,0.948
01-05 21:00,0.116,0.4375987361769353,0.0,0.0051150895140664,0.0,0.947
01-05 22:00,0.108,0.4360189573459716,0.0,0.0076726342710997,0.0,0.962
01-05 23:00,0.104,0.4360189573459716,0.0,0.0025575447570332,0.0,0.968
01-06 00:00,0.1,0.4391785150078989,0.0413888888888888,0.0306905370843989,0.0,0.96
01-06 01:00,0.116,0.4375987361769353,0.9816666666666668,0.0153452685421994,0.0170454545454545,0.96
01-06 02:00,0.12,0.4360189573459716,0.0713888888888888,0.0332480818414322,0.0284090909090909,0.966
