연도,일시,측정소,PM2.5
0,01-01 00:00,문창동,0.112
0,01-01 01:00,문창동,0.07200000000000001
0,01-01 02:00,문창동,0.084
0,01-01 03:00,문창동,0.076
0,01-01 04:00,문창동,0.064
0,01-01 05:00,문창동,0.06
0,01-01 06:00,문창동,0.064
0,01-01 07:00,문창동,0.092
0,01-01 08:00,문창동,0.124
0,01-01 09:00,문창동,0.108
0,01-01 10:00,문창동,0.07200000000000001
0,01-01 11:00,문창동,0.044
0,01-01 12:00,문창동,0.02
0,01-01 13:00,문창동,0.028
0,01-01 14:00,문창동,0.052000000000000005
0,01-01 15:00,문창동,0.032
0,01-01 16:00,문창동,0.04
0,01-01 17:00,문창동,0.048
0,01-01 18:00,문창동,0.064
0,01-01 19:00,문창동,0.092
0,01-01 20:00,문창동,0.092
0,01-01 21:00,문창동,0.064
0,01-01 22:00,문창동,0.032
0,01-01 23:00,문창동,0.08
0,01-02 00:00,문창동,0.07200000000000001
0,01-02 01:00,문창동,0.048
0,01-02 02:00,문창동,0.068
0,01-02 03:00,문창동,0.088
0,01-02 04:00,문창동,0.076
0,01-02 05:00,문창동,0.068
0,01-02 06:00,문창동,0.08
0,01-02 07:00,문창동,0.092
0,01-02 08:00,문창동,0.108
0,01-02 09:00,문창동,0.088
0,01-02 10:00,문창동,0.092
0,01-02 11:00,문창동,0.07200000000000001
0,01-02 12:00,문창동,0.08
0,01-02 13:00,문창동,0.088
0,01-02 14:00,문창동,0.10400000000000001
0,01-02 15:00,문창동,0.112
0,01-02 16:00,문창동,0.128
0,01-02 17:00,문창동,0.176
0,01-02 18:00,문창동,0.20800000000000002
0,01-02 19:00,문창동,0.192
0,01-02 20:00,문창동,0.20800000000000002
0,01-02 21:00,문창동,0.196
0,01-02 22:00,문창동,0.184
0,01-02 23:00,문창동,0.188
0,01-03 00:00,문창동,0.188
0,01-03 01:00,문창동,0.192
0,01-03 02:00,문창동,0.20800000000000002
0,01-03 03:00,문창동,0.18
0,01-03 04:00,문창동,0.18
0,01-03 05:00,문창동,0.168
0,01-03 06:00,문창동,0.184
0,01-03 07:00,문창동,0.184
0,01-03 08:00,문창동,0.184
0,01-03 09:00,문창동,0.188
0,01-03 10:00,문창동,0.20400000000000001
0,01-03 11:00,문창동,0.20800000000000002
0,01-03 12:00,문창동,0.164
0,01-03 13:00,문창동,0.112
0,01-03 14:00,문창동,0.048
0,01-03 15:00,문창동,0.016
0,01-03 16:00,문창동,0.016
0,01-03 17:00,문창동,0.044
0,01-03 18:00,문창동,0.07200000000000001
0,01-03 19:00,문창동,0.068
0,01-03 20:00,문창동,0.092
0,01-03 21:00,문창동,0.128
0,01-03 22:00,문창동,0.096
0,01-03 23:00,문창동,0.152
0,01-04 00:00,문창동,0.14
0,01-04 01:00,문창동,0.132
0,01-04 02:00,문창동,0.16
0,01-04 03:00,문창동,0.168
0,01-04 04:00,문창동,0.20400000000000001
0,01-04 05:00,문창동,0.2
0,01-04 06:00,문창동,0.18
0,01-04 07:00,문창동,0.164
0,01-04 08:00,문창동,0.124
0,01-04 09:00,문창동,0.052000000000000005
0,01-04 10:00,문창동,0.032
0,01-04 11:00,문창동,0.044
0,01-04 12:00,문창동,0.068
0,01-04 13:00,문창동,0.088
0,01-04 14:00,문창동,0.128
0,01-04 15:00,문창동,0.136
0,01-04 16:00,문창동,0.168
0,01-04 17:00,문창동,0.188
0,01-04 18:00,문창동,0.24
0,01-04 19:00,문창동,0.216
0,01-04 20:00,문창동,0.212
0,01-04 21:00,문창동,0.20400000000000001
0,01-04 22:00,문창동,0.192
0,01-04 23:00,문창동,0.20400000000000001
0,01-05 00:00,문창동,0.248
0,01-05 01:00,문창동,0.24
0,01-05 02:00,문창동,0.216
0,01-05 03:00,문창동,0.2
0,01-05 04:00,문창동,0.188
0,01-05 05:00,문창동,0.18
0,01-05 06:00,문창동,0.176
0,01-05 07:00,문창동,0.196
0,01-05 08:00,문창동,0.232
0,01-05 09:00,문창동,0.296
0,01-05 10:00,문창동,0.276
0,01-05 11:00,문창동,0.268
0,01-05 12:00,문창동,0.3
0,01-05 13:00,문창동,0.32
0,01-05 14:00,문창동,0.328
0,01-05 15:00,문창동,0.256
0,01-05 16:00,문창동,0.272
0,01-05 17:00,문창동,0.28400000000000003
0,01-05 18:00,문창동,0.14400000000000002
0,01-05 19:00,문창동,0.096
0,01-05 20:00,문창동,0.10400000000000001
0,01-05 21:00,문창동,0.12
0,01-05 22:00,문창동,0.116
0,01-05 23:00,문창동,0.092
0,01-06 00:00,문창동,0.10400000000000001
0,01-06 01:00,문창동,0.096
0,01-06 02:00,문창동,0.132
0,01-06 03:00,문창동,0.12
0,01-06 04:00,문창동,0.1
0,01-06 05:00,문창동,0.076
0,01-06 06:00,문창동,0.076
0,01-06 07:00,문창동,0.092
0,01-06 08:00,문창동,0.108
0,01-06 09:00,문창동,0.084
0,01-06 10:00,문창동,0.092
0,01-06 11:00,문창동,0.14
0,01-06 12:00,문창동,0.12
0,01-06 13:00,문창동,0.10400000000000001
0,01-06 14:00,문창동,0.084
0,01-06 15:00,문창동,0.06
0,01-06 16:00,문창동,0.084
0,01-06 17:00,문창동,0.092
0,01-06 18:00,문창동,0.10400000000000001
0,01-06 19:00,문창동,0.1
0,01-06 20:00,문창동,0.092
0,01-06 21:00,문창동,0.152
0,01-06 22:00,문창동,0.244
0,01-06 23:00,문창동,0.336
0,01-07 00:00,문창동,0.384
0,01-07 01:00,문창동,0.372
0,01-07 02:00,문창동,0.364
0,01-07 03:00,문창동,0.356
0,01-07 04:00,문창동,0.364
0,01-07 05:00,문창동,
0,01-07 06:00,문창동,0.384
0,01-07 07:00,문창동,0.368
0,01-07 08:00,문창동,0.432
0,01-07 09:00,문창동,0.34800000000000003
0,01-07 10:00,문창동,0.28800000000000003
0,01-07 11:00,문창동,0.26
0,01-07 12:00,문창동,0.216
0,01-07 13:00,문창동,0.24
0,01-07 14:00,문창동,0.23600000000000002
0,01-07 15:00,문창동,0.20800000000000002
0,01-07 16:00,문창동,0.184
0,01-07 17:00,문창동,0.164
0,01-07 18:00,문창동,0.132
0,01-07 19:00,문창동,0.16
