ID,Calories_Burned
TEST_0000,173.0
TEST_0001,189.0
TEST_0002,53.0
TEST_0003,161.0
TEST_0004,226.0
TEST_0005,179.0
TEST_0006,98.0
TEST_0007,44.0
TEST_0008,79.0
TEST_0009,59.0
TEST_0010,123.0
TEST_0011,54.0
TEST_0012,14.0
TEST_0013,177.0
TEST_0014,229.0
TEST_0015,13.0
TEST_0016,98.0
TEST_0017,130.0
TEST_0018,158.0
TEST_0019,7.0
TEST_0020,50.0
TEST_0021,90.0
TEST_0022,25.0
TEST_0023,86.0
TEST_0024,20.0
TEST_0025,128.0
TEST_0026,105.0
TEST_0027,189.0
TEST_0028,121.0
TEST_0029,100.0
TEST_0030,25.0
TEST_0031,244.0
TEST_0032,55.0
TEST_0033,47.0
TEST_0034,133.0
TEST_0035,113.0
TEST_0036,38.0
TEST_0037,129.0
TEST_0038,11.0
TEST_0039,129.0
TEST_0040,202.0
TEST_0041,168.0
TEST_0042,146.0
TEST_0043,60.0
TEST_0044,68.0
TEST_0045,53.0
TEST_0046,78.0
TEST_0047,198.0
TEST_0048,139.0
TEST_0049,125.0
TEST_0050,11.0
TEST_0051,112.0
TEST_0052,158.0
TEST_0053,92.0
TEST_0054,69.0
TEST_0055,86.0
TEST_0056,160.0
TEST_0057,18.0
TEST_0058,30.0
TEST_0059,96.0
TEST_0060,39.0
TEST_0061,109.0
TEST_0062,90.0
TEST_0063,51.0
TEST_0064,34.0
TEST_0065,136.0
TEST_0066,231.0
TEST_0067,126.0
TEST_0068,102.0
TEST_0069,45.0
TEST_0070,125.0
TEST_0071,26.0
TEST_0072,9.0
TEST_0073,152.0
TEST_0074,32.0
TEST_0075,91.0
TEST_0076,64.0
TEST_0077,66.0
TEST_0078,44.0
TEST_0079,187.0
TEST_0080,174.0
TEST_0081,137.0
TEST_0082,90.0
TEST_0083,102.0
TEST_0084,56.0
TEST_0085,179.0
TEST_0086,125.0
TEST_0087,18.0
TEST_0088,145.0
TEST_0089,42.0
TEST_0090,41.0
TEST_0091,37.0
TEST_0092,24.0
TEST_0093,196.0
TEST_0094,5.0
TEST_0095,10.0
TEST_0096,239.0
TEST_0097,140.0
TEST_0098,186.0
TEST_0099,174.0
TEST_0100,13.0
TEST_0101,99.0
TEST_0102,188.0
TEST_0103,166.0
TEST_0104,64.0
TEST_0105,167.0
TEST_0106,37.0
TEST_0107,21.0
TEST_0108,189.0
TEST_0109,30.0
TEST_0110,111.0
TEST_0111,186.0
TEST_0112,47.0
TEST_0113,147.0
TEST_0114,56.0
TEST_0115,81.0
TEST_0116,79.0
TEST_0117,64.0
TEST_0118,14.0
TEST_0119,7.0
TEST_0120,186.0
TEST_0121,48.0
TEST_0122,43.0
TEST_0123,20.0
TEST_0124,32.0
TEST_0125,100.0
TEST_0126,47.0
TEST_0127,55.0
TEST_0128,103.0
TEST_0129,78.0
TEST_0130,60.0
TEST_0131,194.0
TEST_0132,69.0
TEST_0133,135.0
TEST_0134,104.0
TEST_0135,72.0
TEST_0136,72.0
TEST_0137,65.0
TEST_0138,176.0
TEST_0139,23.0
TEST_0140,122.0
TEST_0141,16.0
TEST_0142,112.0
TEST_0143,42.0
TEST_0144,11.0
TEST_0145,33.0
