iter	Passed	Remaining
0	10	40588
1	18	36894
2	27	36277
3	36	35655
4	44	35099
5	52	34768
6	60	34121
7	68	33590
8	76	33340
9	84	33186
10	92	33102
11	100	32860
12	108	32798
13	116	32793
14	125	32887
15	133	32979
16	142	32954
17	150	32944
18	158	32872
19	166	32704
20	174	32618
21	182	32598
22	190	32568
23	198	32560
24	207	32606
25	215	32527
26	223	32466
27	230	32366
28	238	32310
29	246	32297
30	255	32322
31	264	32395
32	272	32349
33	281	32403
34	289	32398
35	297	32412
36	306	32406
37	314	32416
38	322	32366
39	330	32341
40	339	32356
41	347	32378
42	355	32293
43	363	32264
44	371	32305
45	381	32419
46	390	32420
47	398	32397
48	406	32388
49	414	32352
50	422	32328
51	430	32318
52	438	32276
53	446	32275
54	454	32229
55	462	32193
56	470	32141
57	478	32149
58	486	32141
59	494	32080
60	502	32047
61	509	32014
62	517	31952
63	525	31931
64	533	31899
65	541	31880
66	549	31897
67	558	31940
68	567	31942
69	575	31917
70	583	31912
71	591	31906
72	599	31869
73	607	31849
74	613	31743
75	622	31755
76	629	31713
77	637	31703
78	646	31691
79	654	31685
80	663	31711
81	671	31729
82	680	31734
83	688	31717
84	697	31740
85	706	31766
86	714	31767
87	722	31746
88	730	31736
89	738	31713
90	746	31705
91	755	31697
92	763	31680
93	771	31682
94	779	31679
95	789	31732
96	797	31719
97	805	31690
98	813	31677
99	821	31664
100	829	31647
101	837	31642
102	846	31646
103	854	31637
104	862	31613
105	870	31602
106	878	31596
107	887	31609
108	896	31617
109	905	31653
110	915	31695
111	924	31729
112	934	31775
113	943	31772
114	951	31778
115	960	31784
116	968	31765
117	976	31742
118	984	31737
119	993	31741
120	1001	31722
121	1009	31704
122	1017	31682
123	1024	31658
124	1033	31643
125	1040	31614
126	1048	31595
127	1056	31571
128	1064	31558
129	1072	31546
130	1080	31542
131	1089	31533
132	1096	31502
133	1104	31485
134	1112	31469
135	1120	31446
136	1128	31435
137	1136	31427
138	1145	31430
139	1153	31434
140	1161	31411
141	1169	31391
142	1177	31383
143	1185	31363
144	1193	31348
145	1201	31331
146	1209	31330
147	1217	31313
148	1225	31295
149	1233	31276
150	1241	31258
151	1249	31248
152	1257	31243
153	1266	31240
154	1274	31226
155	1282	31212
156	1291	31227
157	1298	31198
158	1306	31186
159	1314	31169
160	1322	31160
161	1330	31147
162	1338	31132
163	1346	31123
164	1355	31118
165	1363	31122
166	1373	31152
167	1382	31156
168	1390	31145
169	1398	31119
170	1406	31110
171	1414	31096
172	1422	31093
173	1431	31093
174	1439	31080
175	1447	31070
176	1455	31059
177	1463	31046
178	1471	31029
179	1479	31020
180	1487	31012
181	1495	31002
182	1504	31000
183	1512	30996
184	1520	30983
185	1528	30966
186	1536	30956
187	1544	30941
188	1552	30922
189	1559	30904
190	1568	30907
191	1576	30890
192	1584	30881
193	1592	30869
194	1600	30846
195	1608	30836
196	1616	30824
197	1624	30814
198	1631	30791
199	1640	30788
200	1648	30787
201	1656	30763
202	1664	30760
203	1672	30753
204	1681	30747
205	1689	30738
206	1698	30737
207	1706	30730
208	1714	30722
209	1723	30724
210	1732	30730
211	1737	30670
212	1745	30660
213	1753	30652
214	1762	30652
215	1771	30650
216	1779	30650
217	1788	30654
218	1796	30633
219	1804	30622
220	1811	30600
221	1819	30590
222	1827	30575
223	1835	30566
224	1843	30557
225	1849	30500
226	1857	30490
227	1865	30483
228	1873	30479
229	1881	30463
230	1889	30451
231	1897	30440
232	1905	30430
233	1914	30431
234	1922	30427
235	1930	30415
236	1938	30405
237	1946	30393
238	1955	30394
239	1964	30393
240	1972	30387
241	1980	30376
242	1988	30372
243	1998	30384
244	2006	30380
245	2014	30367
246	2022	30356
247	2031	30351
248	2038	30332
249	2047	30329
250	2055	30324
251	2063	30308
252	2071	30296
253	2079	30293
254	2088	30291
255	2096	30286
256	2104	30275
257	2112	30267
258	2120	30248
