ID,Book-Rating
TEST_000000,5
TEST_000001,5
TEST_000002,6
TEST_000003,5
TEST_000004,5
TEST_000005,5
TEST_000006,5
TEST_000007,2
TEST_000008,3
TEST_000009,3
TEST_000010,4
TEST_000011,4
TEST_000012,4
TEST_000013,4
TEST_000014,4
TEST_000015,4
TEST_000016,4
TEST_000017,3
TEST_000018,3
TEST_000019,6
TEST_000020,6
TEST_000021,5
TEST_000022,5
TEST_000023,6
TEST_000024,5
TEST_000025,6
TEST_000026,5
TEST_000027,3
TEST_000028,1
TEST_000029,1
TEST_000030,1
TEST_000031,1
TEST_000032,1
TEST_000033,1
TEST_000034,3
TEST_000035,3
TEST_000036,3
TEST_000037,4
TEST_000038,4
TEST_000039,4
TEST_000040,3
TEST_000041,2
TEST_000042,3
TEST_000043,3
TEST_000044,4
TEST_000045,4
TEST_000046,4
TEST_000047,5
TEST_000048,5
TEST_000049,4
TEST_000050,5
TEST_000051,4
TEST_000052,4
TEST_000053,4
TEST_000054,4
TEST_000055,4
TEST_000056,4
TEST_000057,4
TEST_000058,2
TEST_000059,2
TEST_000060,2
TEST_000061,2
TEST_000062,2
TEST_000063,2
TEST_000064,2
TEST_000065,4
TEST_000066,3
TEST_000067,4
TEST_000068,4
TEST_000069,4
TEST_000070,4
TEST_000071,4
TEST_000072,4
TEST_000073,4
TEST_000074,4
TEST_000075,3
TEST_000076,2
TEST_000077,2
TEST_000078,3
TEST_000079,3
TEST_000080,2
TEST_000081,2
TEST_000082,3
TEST_000083,3
TEST_000084,3
TEST_000085,3
TEST_000086,3
TEST_000087,3
TEST_000088,3
TEST_000089,2
TEST_000090,3
TEST_000091,3
TEST_000092,3
TEST_000093,3
TEST_000094,3
TEST_000095,3
TEST_000096,1
TEST_000097,1
TEST_000098,4
TEST_000099,4
TEST_000100,4
TEST_000101,4
TEST_000102,4
TEST_000103,4
TEST_000104,4
TEST_000105,4
TEST_000106,4
TEST_000107,4
TEST_000108,4
TEST_000109,4
TEST_000110,4
TEST_000111,4
TEST_000112,5
TEST_000113,4
TEST_000114,4
TEST_000115,5
TEST_000116,4
TEST_000117,4
TEST_000118,5
TEST_000119,4
TEST_000120,4
TEST_000121,4
TEST_000122,4
TEST_000123,4
TEST_000124,4
TEST_000125,5
TEST_000126,4
TEST_000127,4
TEST_000128,5
TEST_000129,4
TEST_000130,4
TEST_000131,4
TEST_000132,4
TEST_000133,4
TEST_000134,4
TEST_000135,4
TEST_000136,5
TEST_000137,4
TEST_000138,4
TEST_000139,4
TEST_000140,4
TEST_000141,4
TEST_000142,4
TEST_000143,4
TEST_000144,4
TEST_000145,4
TEST_000146,5
TEST_000147,4
TEST_000148,4
TEST_000149,4
TEST_000150,4
TEST_000151,4
TEST_000152,4
TEST_000153,4
TEST_000154,5
TEST_000155,5
TEST_000156,4
TEST_000157,5
TEST_000158,4
TEST_000159,4
TEST_000160,5
TEST_000161,4
TEST_000162,4
TEST_000163,4
TEST_000164,4
TEST_000165,4
TEST_000166,5
TEST_000167,5
TEST_000168,5
TEST_000169,4
TEST_000170,4
TEST_000171,4
TEST_000172,4
TEST_000173,4
TEST_000174,4
TEST_000175,4
TEST_000176,4
TEST_000177,5
TEST_000178,4
TEST_000179,5
TEST_000180,4
TEST_000181,4
TEST_000182,5
TEST_000183,4
TEST_000184,4
TEST_000185,4
TEST_000186,4
TEST_000187,4
TEST_000188,5
TEST_000189,4
TEST_000190,4
TEST_000191,4
TEST_000192,4
TEST_000193,4
TEST_000194,2
TEST_000195,2
TEST_000196,2
TEST_000197,2
TEST_000198,2
TEST_000199,2
TEST_000200,2
TEST_000201,2
TEST_000202,2
TEST_000203,2
TEST_000204,2
TEST_000205,2
TEST_000206,2
TEST_000207,2
TEST_000208,2
TEST_000209,2
TEST_000210,2
TEST_000211,1
TEST_000212,2
TEST_000213,2
TEST_000214,2
TEST_000215,1
TEST_000216,1
TEST_000217,2
TEST_000218,2
TEST_000219,2
TEST_000220,3
TEST_000221,3
TEST_000222,5
TEST_000223,5
TEST_000224,5
TEST_000225,5
TEST_000226,5
TEST_000227,5
TEST_000228,5
TEST_000229,5
TEST_000230,5
TEST_000231,3
TEST_000232,3
TEST_000233,4
TEST_000234,4
TEST_000235,4
TEST_000236,3
TEST_000237,5
TEST_000238,4
TEST_000239,4
TEST_000240,3
TEST_000241,3
TEST_000242,4
TEST_000243,4
TEST_000244,4
TEST_000245,4
TEST_000246,4
TEST_000247,4
TEST_000248,4
TEST_000249,4
TEST_000250,3
TEST_000251,2
TEST_000252,2
TEST_000253,3
TEST_000254,2
TEST_000255,2
TEST_000256,2
TEST_000257,3
TEST_000258,3
TEST_000259,2
TEST_000260,4
TEST_000261,3
TEST_000262,4
TEST_000263,4
TEST_000264,4
TEST_000265,4
TEST_000266,4
TEST_000267,5
TEST_000268,5
TEST_000269,4
TEST_000270,4
TEST_000271,5
TEST_000272,4
TEST_000273,4
TEST_000274,3
TEST_000275,3
TEST_000276,3
TEST_000277,3
TEST_000278,3
TEST_000279,3
TEST_000280,4
TEST_000281,3
TEST_000282,3
TEST_000283,3
TEST_000284,4
TEST_000285,3
TEST_000286,3
TEST_000287,3
TEST_000288,3
TEST_000289,3
TEST_000290,3
TEST_000291,3
TEST_000292,3
TEST_000293,4
TEST_000294,3
TEST_000295,3
TEST_000296,3
TEST_000297,3
TEST_000298,3
TEST_000299,3
TEST_000300,3
TEST_000301,3
TEST_000302,3
TEST_000303,3
TEST_000304,3
TEST_000305,3
TEST_000306,4
TEST_000307,4
TEST_000308,3
TEST_000309,4
TEST_000310,4
TEST_000311,3
TEST_000312,3
TEST_000313,3
TEST_000314,5
TEST_000315,5
TEST_000316,4
TEST_000317,4
TEST_000318,4
TEST_000319,3
TEST_000320,3
TEST_000321,3
TEST_000322,3
TEST_000323,3
TEST_000324,2
TEST_000325,2
TEST_000326,2
TEST_000327,3
TEST_000328,3
TEST_000329,3
TEST_000330,3
TEST_000331,3
TEST_000332,3
TEST_000333,3
TEST_000334,2
TEST_000335,3
TEST_000336,2
TEST_000337,3
TEST_000338,2
TEST_000339,3
TEST_000340,2
TEST_000341,3
TEST_000342,3
TEST_000343,3
TEST_000344,3
TEST_000345,3
TEST_000346,3
TEST_000347,2
TEST_000348,3
TEST_000349,3
TEST_000350,3
TEST_000351,3
TEST_000352,3
TEST_000353,2
TEST_000354,3
TEST_000355,3
TEST_000356,3
TEST_000357,2
TEST_000358,3
TEST_000359,3
TEST_000360,3
TEST_000361,3
TEST_000362,3
TEST_000363,3
TEST_000364,3
TEST_000365,4
TEST_000366,3
TEST_000367,2
TEST_000368,3
TEST_000369,3
TEST_000370,3
TEST_000371,3
TEST_000372,3
TEST_000373,3
TEST_000374,3
TEST_000375,3
TEST_000376,3
TEST_000377,3
TEST_000378,3
TEST_000379,3
TEST_000380,3
TEST_000381,3
TEST_000382,3
TEST_000383,3
TEST_000384,6
TEST_000385,6
TEST_000386,6
TEST_000387,6
TEST_000388,6
TEST_000389,5
TEST_000390,3
TEST_000391,4
TEST_000392,4
TEST_000393,4
TEST_000394,4
TEST_000395,4
TEST_000396,2
TEST_000397,2
TEST_000398,2
TEST_000399,2
TEST_000400,2
TEST_000401,2
TEST_000402,2
TEST_000403,2
TEST_000404,2
TEST_000405,2
TEST_000406,2
TEST_000407,2
TEST_000408,2
TEST_000409,2
TEST_000410,2
TEST_000411,5
TEST_000412,5
TEST_000413,5
TEST_000414,5
TEST_000415,5
TEST_000416,5
TEST_000417,5
TEST_000418,5
TEST_000419,5
TEST_000420,5
TEST_000421,5
TEST_000422,5
TEST_000423,4
TEST_000424,4
TEST_000425,4
TEST_000426,4
TEST_000427,4
TEST_000428,4
TEST_000429,4
TEST_000430,5
TEST_000431,4
TEST_000432,4
TEST_000433,4
TEST_000434,4
TEST_000435,4
TEST_000436,2
TEST_000437,2
TEST_000438,2
TEST_000439,2
TEST_000440,2
TEST_000441,2
TEST_000442,2
TEST_000443,2
TEST_000444,2
TEST_000445,2
TEST_000446,2
TEST_000447,2
TEST_000448,2
TEST_000449,2
TEST_000450,2
TEST_000451,2
TEST_000452,3
TEST_000453,2
TEST_000454,2
TEST_000455,2
TEST_000456,2
TEST_000457,4
TEST_000458,5
TEST_000459,4
TEST_000460,4
TEST_000461,3
TEST_000462,3
TEST_000463,3
TEST_000464,2
TEST_000465,2
TEST_000466,2
TEST_000467,2
TEST_000468,2
TEST_000469,3
TEST_000470,3
TEST_000471,3
TEST_000472,5
TEST_000473,5
TEST_000474,5
TEST_000475,5
TEST_000476,4
TEST_000477,5
TEST_000478,4
TEST_000479,4
TEST_000480,4
TEST_000481,4
TEST_000482,4
TEST_000483,4
TEST_000484,4
TEST_000485,4
TEST_000486,5
TEST_000487,1
TEST_000488,2
TEST_000489,1
TEST_000490,2
TEST_000491,1
TEST_000492,1
TEST_000493,1
TEST_000494,2
TEST_000495,2
TEST_000496,2
TEST_000497,1
TEST_000498,2
TEST_000499,2
TEST_000500,2
TEST_000501,1
TEST_000502,2
TEST_000503,2
TEST_000504,1
TEST_000505,4
TEST_000506,4
TEST_000507,4
TEST_000508,4
TEST_000509,4
TEST_000510,4
TEST_000511,4
TEST_000512,4
TEST_000513,5
TEST_000514,4
TEST_000515,4
TEST_000516,5
TEST_000517,5
TEST_000518,5
TEST_000519,5
TEST_000520,5
TEST_000521,5
TEST_000522,4
TEST_000523,5
TEST_000524,4
TEST_000525,5
TEST_000526,5
TEST_000527,4
TEST_000528,4
TEST_000529,2
TEST_000530,4
TEST_000531,2
TEST_000532,2
TEST_000533,2
TEST_000534,3
TEST_000535,4
TEST_000536,2
TEST_000537,2
TEST_000538,2
TEST_000539,4
TEST_000540,2
TEST_000541,2
TEST_000542,2
TEST_000543,2
TEST_000544,2
TEST_000545,2
TEST_000546,2
TEST_000547,2
TEST_000548,2
TEST_000549,2
TEST_000550,3
TEST_000551,2
TEST_000552,2
TEST_000553,2
TEST_000554,3
TEST_000555,3
TEST_000556,3
TEST_000557,4
TEST_000558,4
TEST_000559,5
TEST_000560,5
