,ID,Book-Rating
0,TEST_000000,4.832
1,TEST_000001,5.514
2,TEST_000002,5.283
3,TEST_000003,5.012
4,TEST_000004,4.939
5,TEST_000005,4.828
6,TEST_000006,4.891
7,TEST_000007,4.026
8,TEST_000008,3.992
9,TEST_000009,4.167
10,TEST_000010,5.097
11,TEST_000011,4.695
12,TEST_000012,4.608
13,TEST_000013,4.443
14,TEST_000014,4.467
15,TEST_000015,4.301
16,TEST_000016,4.561
17,TEST_000017,2.866
18,TEST_000018,2.238
19,TEST_000019,7.674
20,TEST_000020,6.894
21,TEST_000021,4.454
22,TEST_000022,4.501
23,TEST_000023,7.474
24,TEST_000024,5.571
25,TEST_000025,5.149
26,TEST_000026,4.111
27,TEST_000027,2.842
28,TEST_000028,0.365
29,TEST_000029,2.84
30,TEST_000030,1.387
31,TEST_000031,0.431
32,TEST_000032,0.542
33,TEST_000033,0.447
34,TEST_000034,3.555
35,TEST_000035,4.135
36,TEST_000036,4.842
37,TEST_000037,4.759
38,TEST_000038,3.985
39,TEST_000039,4.232
40,TEST_000040,3.592
41,TEST_000041,2.186
42,TEST_000042,2.729
43,TEST_000043,3.074
44,TEST_000044,4.862
45,TEST_000045,4.002
46,TEST_000046,4.211
47,TEST_000047,5.065
48,TEST_000048,5.336
49,TEST_000049,4.236
50,TEST_000050,5.671
51,TEST_000051,3.936
52,TEST_000052,3.77
53,TEST_000053,3.787
54,TEST_000054,4.243
55,TEST_000055,4.711
56,TEST_000056,4.515
57,TEST_000057,4.422
58,TEST_000058,1.632
59,TEST_000059,1.299
60,TEST_000060,1.543
61,TEST_000061,1.197
62,TEST_000062,1.631
63,TEST_000063,1.412
64,TEST_000064,3.908
65,TEST_000065,4.48
66,TEST_000066,3.004
67,TEST_000067,4.361
68,TEST_000068,5.563
69,TEST_000069,3.972
70,TEST_000070,4.252
71,TEST_000071,4.105
72,TEST_000072,4.485
73,TEST_000073,3.973
74,TEST_000074,5.202
75,TEST_000075,4.082
76,TEST_000076,2.842
77,TEST_000077,2.907
78,TEST_000078,2.928
79,TEST_000079,3.104
80,TEST_000080,3.054
81,TEST_000081,2.818
82,TEST_000082,2.745
83,TEST_000083,2.739
84,TEST_000084,2.239
85,TEST_000085,2.876
86,TEST_000086,2.137
87,TEST_000087,3.3
88,TEST_000088,2.578
89,TEST_000089,3.22
90,TEST_000090,3.768
91,TEST_000091,2.754
92,TEST_000092,3.299
93,TEST_000093,3.259
94,TEST_000094,3.16
95,TEST_000095,3.001
96,TEST_000096,0.567
97,TEST_000097,0.74
98,TEST_000098,4.894
99,TEST_000099,4.426
100,TEST_000100,3.785
101,TEST_000101,4.992
102,TEST_000102,5.367
103,TEST_000103,3.982
104,TEST_000104,4.541
105,TEST_000105,4.544
106,TEST_000106,4.383
107,TEST_000107,3.34
108,TEST_000108,4.288
109,TEST_000109,4.42
110,TEST_000110,4.69
111,TEST_000111,4.633
112,TEST_000112,5.617
113,TEST_000113,4.763
114,TEST_000114,4.013
115,TEST_000115,4.823
116,TEST_000116,3.28
117,TEST_000117,4.573
118,TEST_000118,5.611
119,TEST_000119,3.237
120,TEST_000120,5.0
121,TEST_000121,4.195
122,TEST_000122,4.786
123,TEST_000123,4.242
124,TEST_000124,4.231
125,TEST_000125,4.777
126,TEST_000126,3.28
127,TEST_000127,5.115
128,TEST_000128,5.233
129,TEST_000129,4.521
130,TEST_000130,4.827
131,TEST_000131,3.708
132,TEST_000132,4.155
133,TEST_000133,4.122
134,TEST_000134,3.945
135,TEST_000135,4.73
136,TEST_000136,6.157
137,TEST_000137,3.59
138,TEST_000138,4.466
139,TEST_000139,4.374
140,TEST_000140,4.155
141,TEST_000141,4.963
142,TEST_000142,4.745
143,TEST_000143,4.641
144,TEST_000144,4.592
145,TEST_000145,3.692
146,TEST_000146,5.612
147,TEST_000147,4.713
148,TEST_000148,4.534
149,TEST_000149,3.57
150,TEST_000150,4.669
151,TEST_000151,3.399
152,TEST_000152,5.133
153,TEST_000153,4.28
154,TEST_000154,6.387
155,TEST_000155,4.915
156,TEST_000156,4.279
157,TEST_000157,4.656
158,TEST_000158,3.726
159,TEST_000159,4.422
160,TEST_000160,4.776
161,TEST_000161,4.678
162,TEST_000162,4.037
163,TEST_000163,3.904
164,TEST_000164,4.267
165,TEST_000165,4.758
166,TEST_000166,4.753
167,TEST_000167,6.501
168,TEST_000168,4.151
169,TEST_000169,4.83
170,TEST_000170,4.55
171,TEST_000171,3.933
172,TEST_000172,4.051
173,TEST_000173,3.605
174,TEST_000174,4.729
175,TEST_000175,4.839
176,TEST_000176,4.455
177,TEST_000177,5.512
178,TEST_000178,4.379
179,TEST_000179,7.51
180,TEST_000180,4.341
181,TEST_000181,3.448
182,TEST_000182,5.246
183,TEST_000183,3.866
184,TEST_000184,4.593
185,TEST_000185,4.636
186,TEST_000186,4.344
187,TEST_000187,3.685
188,TEST_000188,5.711
189,TEST_000189,3.138
190,TEST_000190,4.915
191,TEST_000191,4.015
192,TEST_000192,4.308
193,TEST_000193,5.11
