,ID,Book-Rating
0,TEST_000000,4.861
1,TEST_000001,5.524
2,TEST_000002,5.462
3,TEST_000003,5.162
4,TEST_000004,4.925
5,TEST_000005,4.77
6,TEST_000006,4.785
7,TEST_000007,4.122
8,TEST_000008,4.124
9,TEST_000009,4.359
10,TEST_000010,4.7
11,TEST_000011,4.403
12,TEST_000012,4.337
13,TEST_000013,4.394
14,TEST_000014,4.439
15,TEST_000015,4.414
16,TEST_000016,4.674
17,TEST_000017,2.618
18,TEST_000018,2.368
19,TEST_000019,6.718
20,TEST_000020,6.372
21,TEST_000021,4.099
22,TEST_000022,4.346
23,TEST_000023,6.767
24,TEST_000024,4.94
25,TEST_000025,5.11
26,TEST_000026,4.249
27,TEST_000027,2.717
28,TEST_000028,0.884
29,TEST_000029,2.882
30,TEST_000030,1.436
31,TEST_000031,0.88
32,TEST_000032,1.17
33,TEST_000033,0.923
34,TEST_000034,3.814
35,TEST_000035,4.695
36,TEST_000036,5.546
37,TEST_000037,4.66
38,TEST_000038,4.07
39,TEST_000039,4.533
40,TEST_000040,3.294
41,TEST_000041,2.039
42,TEST_000042,2.985
43,TEST_000043,2.873
44,TEST_000044,4.526
45,TEST_000045,3.887
46,TEST_000046,4.018
47,TEST_000047,4.897
48,TEST_000048,5.193
49,TEST_000049,4.174
50,TEST_000050,5.467
51,TEST_000051,3.896
52,TEST_000052,3.84
53,TEST_000053,4.133
54,TEST_000054,3.596
55,TEST_000055,4.057
56,TEST_000056,3.677
57,TEST_000057,4.43
58,TEST_000058,2.73
59,TEST_000059,2.325
60,TEST_000060,2.76
61,TEST_000061,2.521
62,TEST_000062,3.031
63,TEST_000063,2.806
64,TEST_000064,4.016
65,TEST_000065,4.501
66,TEST_000066,3.141
67,TEST_000067,4.395
68,TEST_000068,4.88
69,TEST_000069,4.047
70,TEST_000070,4.103
71,TEST_000071,4.257
72,TEST_000072,4.691
73,TEST_000073,4.194
74,TEST_000074,5.006
75,TEST_000075,3.142
76,TEST_000076,2.192
77,TEST_000077,2.494
78,TEST_000078,2.601
79,TEST_000079,2.897
80,TEST_000080,2.607
81,TEST_000081,2.032
82,TEST_000082,2.468
83,TEST_000083,2.278
84,TEST_000084,2.427
85,TEST_000085,2.638
86,TEST_000086,2.433
87,TEST_000087,2.54
88,TEST_000088,2.248
89,TEST_000089,2.551
90,TEST_000090,2.972
91,TEST_000091,2.922
92,TEST_000092,2.841
93,TEST_000093,2.818
94,TEST_000094,2.703
95,TEST_000095,2.517
96,TEST_000096,0.628
97,TEST_000097,0.79
98,TEST_000098,4.474
99,TEST_000099,4.166
100,TEST_000100,3.94
101,TEST_000101,4.79
102,TEST_000102,5.006
103,TEST_000103,4.25
104,TEST_000104,4.272
105,TEST_000105,4.319
106,TEST_000106,4.136
107,TEST_000107,3.851
108,TEST_000108,4.102
109,TEST_000109,4.257
110,TEST_000110,4.579
111,TEST_000111,4.395
112,TEST_000112,3.627
113,TEST_000113,4.505
114,TEST_000114,4.25
115,TEST_000115,5.543
116,TEST_000116,3.798
117,TEST_000117,4.591
118,TEST_000118,4.786
119,TEST_000119,3.95
120,TEST_000120,4.766
121,TEST_000121,4.502
122,TEST_000122,4.273
123,TEST_000123,4.448
124,TEST_000124,4.441
125,TEST_000125,5.565
126,TEST_000126,3.78
127,TEST_000127,4.786
128,TEST_000128,4.154
129,TEST_000129,4.712
130,TEST_000130,4.666
131,TEST_000131,4.056
132,TEST_000132,4.136
133,TEST_000133,3.875
134,TEST_000134,3.812
135,TEST_000135,4.708
136,TEST_000136,6.319
137,TEST_000137,4.215
138,TEST_000138,4.466
139,TEST_000139,4.359
140,TEST_000140,3.937
141,TEST_000141,4.695
142,TEST_000142,4.366
143,TEST_000143,4.154
144,TEST_000144,4.331
145,TEST_000145,4.415
146,TEST_000146,3.627
147,TEST_000147,4.831
148,TEST_000148,4.614
149,TEST_000149,3.9
150,TEST_000150,4.318
151,TEST_000151,3.914
152,TEST_000152,4.68
153,TEST_000153,4.546
154,TEST_000154,4.73
155,TEST_000155,5.652
156,TEST_000156,4.248
157,TEST_000157,4.86
158,TEST_000158,4.559
159,TEST_000159,4.597
160,TEST_000160,5.538
161,TEST_000161,4.323
162,TEST_000162,4.103
163,TEST_000163,3.887
164,TEST_000164,4.373
165,TEST_000165,4.364
166,TEST_000166,5.504
167,TEST_000167,6.663
168,TEST_000168,3.996
169,TEST_000169,4.722
170,TEST_000170,4.491
171,TEST_000171,4.451
172,TEST_000172,4.315
173,TEST_000173,3.692
174,TEST_000174,4.635
175,TEST_000175,4.507
176,TEST_000176,4.58
177,TEST_000177,5.794
178,TEST_000178,4.228
179,TEST_000179,6.188
180,TEST_000180,4.305
181,TEST_000181,3.82
182,TEST_000182,5.451
183,TEST_000183,4.156
184,TEST_000184,4.833
185,TEST_000185,4.457
186,TEST_000186,4.558
187,TEST_000187,3.705
188,TEST_000188,5.975
189,TEST_000189,3.867
190,TEST_000190,4.566
191,TEST_000191,4.599
192,TEST_000192,4.44
193,TEST_000193,4.912
194,TEST_000194,1.59
195,TEST_000195,1.697
196,TEST_000196,2.404
197,TEST_000197,1.526
198,TEST_000198,1.877
199,TEST_000199,1.649
200,TEST_000200,2.078
201,TEST_000201,1.811
202,TEST_000202,2.16
203,TEST_000203,1.694
204,TEST_000204,2.411
205,TEST_000205,1.782
206,TEST_000206,1.945
207,TEST_000207,2.155
208,TEST_000208,1.627
209,TEST_000209,1.491
210,TEST_000210,1.6
211,TEST_000211,1.182
212,TEST_000212,2.205
213,TEST_000213,2.221
214,TEST_000214,1.621
215,TEST_000215,1.328
216,TEST_000216,1.371
217,TEST_000217,1.633
