Location,Latitude,Longitude,Description
아름동,36.5122519,127.2467891,세종특별자치시 보듬3로 114 아름동커뮤니티센터 옥상 (아름동)
신흥동,36.5928874,127.2925497,세종 조치원읍 군청로 87-16(신흥동) 세종특별자치시 조치원청사 옥상
노은동,36.3682419,127.3184975,대전 유성구 노은동로 87번길 89(노은1동 주민센터) 노은1동 주민센터 3층 옥상
문창동,36.3172147,127.4378249,대전 중구 보문로 20번길 38(문창동 주민센터) 문창동 주민센터
읍내동,36.3723875,127.4177136,대전 대덕구 대전로 1331번길 75(태아산업(주)) 태아산업(주)
정림동,36.3044424,127.3667423,대전 서구 정림동로 10(정림동 주민센터) 정림동 주민센터
공주,36.4469512,127.119209,충남 공주시 봉황로 1 (공주시의회 옥상)
논산,36.1992169,127.0870207,충남 논산시 시민로 389 (취암/부창동 행정복지센터 2층 옥상)
대천2동,36.3531477,126.5897346,충남 보령시 중앙로 142-16 (대천2동 주민센터 옥상)
독곶리,36.9875793,126.3916719,충남 서산시 대산읍 평신1로(독곶리) 한국수자원공사 대산산업용수센터 저수동 옥상
동문동,36.7801577,126.4551973,충청남도 서산시 중앙로 38-1 서산초등학교 (동문동)
모종동,36.7826998,127.0146102,충남 아산시 모종동 573-2 보건소옥상
신방동,36.7823546,127.1205056,충남 천안시 동남구 천안천변길 127 천안시 맑은물사업소 하수처리장 (신방동)
예산군,36.6773976,126.8489179,충남 예산군 예산읍 신흥길 63 (다목적 노인회관 옥상)
이원면,36.8697187,126.2805009,충남 태안군 이원면 분지길 14 (이원면사무소 1층 나동 옥상)
홍성읍,36.5976725,126.655087,충남 홍성군 홍성읍 내포로 136번길 29 (느티나무 어린이집 옥상)
성성동,36.8403132,127.1417769,충남 천안시 서북구 성성동 1-70
