,연도,일시,측정소,PM2.5
0,4,01-03 00:00,공주,0.11117891
1,4,01-03 01:00,공주,0.111044705
2,4,01-03 02:00,공주,0.110045485
3,4,01-03 03:00,공주,0.111146286
4,4,01-03 04:00,공주,0.11046817
5,4,01-03 05:00,공주,0.110789046
6,4,01-03 06:00,공주,0.11419958
7,4,01-03 07:00,공주,0.12106949
8,4,01-03 08:00,공주,0.12785566
9,4,01-03 09:00,공주,0.13029346
10,4,01-03 10:00,공주,0.12320529
11,4,01-03 11:00,공주,0.11370443
12,4,01-03 12:00,공주,0.10128508
13,4,01-03 13:00,공주,0.09552975
14,4,01-03 14:00,공주,0.09139855
15,4,01-03 15:00,공주,0.08895617
16,4,01-03 16:00,공주,0.0890217
17,4,01-03 17:00,공주,0.093400106
18,4,01-03 18:00,공주,0.09744068
19,4,01-03 19:00,공주,0.0997314
20,4,01-03 20:00,공주,0.10043556
21,4,01-03 21:00,공주,0.10186883
22,4,01-03 22:00,공주,0.10355222
23,4,01-03 23:00,공주,0.10642982
24,4,01-04 00:00,공주,0.11117891
25,4,01-04 01:00,공주,0.111044705
26,4,01-04 02:00,공주,0.110045485
27,4,01-04 03:00,공주,0.111146286
28,4,01-04 04:00,공주,0.11046817
29,4,01-04 05:00,공주,0.110789046
30,4,01-04 06:00,공주,0.11419958
31,4,01-04 07:00,공주,0.12106949
32,4,01-04 08:00,공주,0.12785566
33,4,01-04 09:00,공주,0.13029346
34,4,01-04 10:00,공주,0.12320529
35,4,01-04 11:00,공주,0.11370443
36,4,01-04 12:00,공주,0.10128508
37,4,01-04 13:00,공주,0.09552975
38,4,01-04 14:00,공주,0.09139855
39,4,01-04 15:00,공주,0.08895617
40,4,01-04 16:00,공주,0.0890217
41,4,01-04 17:00,공주,0.093400106
42,4,01-04 18:00,공주,0.09744068
43,4,01-04 19:00,공주,0.0997314
44,4,01-04 20:00,공주,0.10043556
45,4,01-04 21:00,공주,0.10186883
46,4,01-04 22:00,공주,0.10355222
47,4,01-04 23:00,공주,0.10642982
48,4,01-05 00:00,공주,0.11117891
49,4,01-05 01:00,공주,0.111044705
50,4,01-05 02:00,공주,0.110045485
51,4,01-05 03:00,공주,0.111146286
52,4,01-05 04:00,공주,0.11046817
53,4,01-05 05:00,공주,0.110789046
54,4,01-05 06:00,공주,0.11419958
55,4,01-05 07:00,공주,0.12106949
56,4,01-05 08:00,공주,0.12785566
57,4,01-05 09:00,공주,0.13029346
58,4,01-05 10:00,공주,0.12320529
59,4,01-05 11:00,공주,0.11370443
60,4,01-05 12:00,공주,0.10128508
