iter	Passed	Remaining
0	138	138713
1	139	69524
2	139	46473
3	140	34913
4	140	27994
5	141	23375
6	141	20037
7	141	17561
8	142	15644
9	142	14153
10	143	12889
11	143	11837
12	144	10951
13	144	10191
14	145	9528
15	145	8945
16	145	8431
17	146	7981
18	146	7567
19	146	7196
20	147	6867
21	147	6566
22	148	6291
23	148	6039
24	148	5806
25	149	5590
26	149	5390
27	149	5206
28	150	5034
29	150	4872
30	151	4721
31	151	4580
32	151	4447
33	152	4326
34	152	4212
35	153	4105
36	153	4002
37	154	3905
38	154	3811
39	155	3721
40	155	3635
41	155	3553
42	156	3474
43	156	3399
44	156	3328
45	157	3260
46	157	3194
47	157	3131
48	158	3070
49	158	3013
50	159	2958
51	159	2905
52	159	2854
53	160	2806
54	160	2758
55	160	2713
56	161	2670
57	161	2628
58	162	2586
59	162	2546
60	162	2508
61	163	2471
62	163	2434
63	164	2399
64	164	2364
65	164	2331
66	165	2299
67	165	2268
68	165	2238
69	166	2209
70	166	2182
71	167	2155
72	167	2129
73	168	2104
74	168	2081
75	169	2057
76	169	2033
77	170	2010
78	170	1988
79	170	1966
80	171	1943
81	171	1922
82	172	1901
83	172	1880
84	172	1859
85	173	1840
86	173	1820
87	173	1801
88	174	1783
89	174	1766
90	175	1748
91	175	1731
92	175	1713
93	176	1697
94	176	1681
95	176	1666
96	177	1651
97	177	1636
98	178	1621
99	178	1606
100	178	1592
101	179	1579
102	179	1566
103	180	1552
104	180	1540
105	181	1528
106	181	1515
107	182	1503
108	182	1491
109	182	1478
110	183	1467
111	183	1455
112	184	1444
113	184	1433
114	184	1422
115	185	1411
116	185	1400
117	185	1389
118	186	1378
119	186	1367
120	186	1357
121	187	1347
122	187	1338
123	188	1328
124	188	1319
125	188	1310
126	189	1301
127	189	1292
128	190	1283
129	190	1275
130	190	1266
131	191	1259
132	191	1250
133	192	1242
134	192	1233
135	192	1225
136	193	1217
137	193	1210
138	194	1202
139	194	1195
140	194	1187
141	195	1180
142	195	1172
143	196	1165
144	196	1158
145	196	1150
146	197	1143
147	197	1137
148	197	1130
149	198	1124
150	198	1118
151	199	1111
152	199	1104
153	199	1098
154	200	1091
155	200	1085
156	201	1079
157	201	1073
