ID,Calories_Burned
TEST_0000,184.03944
TEST_0001,205.0208
TEST_0002,55.229362
TEST_0003,173.3986
TEST_0004,237.26736
TEST_0005,190.98317
TEST_0006,109.50583
TEST_0007,48.94782
TEST_0008,85.952034
TEST_0009,62.13716
TEST_0010,133.54283
TEST_0011,57.97969
TEST_0012,15.644467
TEST_0013,173.60924
TEST_0014,247.01283
TEST_0015,14.348838
TEST_0016,107.70984
TEST_0017,143.97144
TEST_0018,169.22179
TEST_0019,8.944298
TEST_0020,56.517685
TEST_0021,103.5458
TEST_0022,29.582945
TEST_0023,94.576775
TEST_0024,22.78376
TEST_0025,143.93564
TEST_0026,116.42215
TEST_0027,202.93011
TEST_0028,128.6158
TEST_0029,109.12989
TEST_0030,25.332354
TEST_0031,259.41846
TEST_0032,60.836685
TEST_0033,50.571884
TEST_0034,142.50339
TEST_0035,121.430855
TEST_0036,43.353046
TEST_0037,139.02339
TEST_0038,12.104021
TEST_0039,139.70595
TEST_0040,218.25246
TEST_0041,177.18298
TEST_0042,159.10674
TEST_0043,64.3307
TEST_0044,72.125565
TEST_0045,58.377342
TEST_0046,89.56618
TEST_0047,208.63818
TEST_0048,152.09874
TEST_0049,134.3385
TEST_0050,12.426924
TEST_0051,120.10706
TEST_0052,171.87738
TEST_0053,104.6306
TEST_0054,76.055176
TEST_0055,98.453445
TEST_0056,180.75777
TEST_0057,19.750431
TEST_0058,32.77787
TEST_0059,104.252144
TEST_0060,44.268898
TEST_0061,115.70422
TEST_0062,96.604546
TEST_0063,53.50007
TEST_0064,40.776886
TEST_0065,144.8656
TEST_0066,242.83209
TEST_0067,137.042
TEST_0068,104.49394
TEST_0069,49.19341
TEST_0070,138.14963
TEST_0071,30.022137
TEST_0072,10.665002
TEST_0073,167.31772
TEST_0074,37.111565
TEST_0075,97.44763
TEST_0076,67.75452
TEST_0077,76.21171
TEST_0078,51.91939
TEST_0079,203.22745
TEST_0080,181.97232
TEST_0081,145.834
TEST_0082,99.5531
TEST_0083,112.26083
TEST_0084,62.23304
TEST_0085,193.2807
TEST_0086,137.91513
TEST_0087,20.964521
TEST_0088,158.79187
TEST_0089,47.876396
TEST_0090,44.481544
TEST_0091,40.533363
TEST_0092,27.129175
TEST_0093,215.89163
TEST_0094,6.5798287
TEST_0095,10.992794
TEST_0096,258.39343
TEST_0097,148.02403
TEST_0098,202.09357
TEST_0099,184.4405
TEST_0100,14.755834
TEST_0101,107.448265
TEST_0102,201.12363
TEST_0103,177.48843
TEST_0104,69.48383
TEST_0105,178.2752
TEST_0106,41.713924
TEST_0107,23.4711
TEST_0108,195.29147
TEST_0109,29.818533
TEST_0110,124.14416
TEST_0111,197.8672
TEST_0112,53.251297
TEST_0113,161.30792
TEST_0114,61.21557
TEST_0115,86.963585
TEST_0116,87.617485
TEST_0117,70.41694
TEST_0118,15.065632
TEST_0119,7.0679708
TEST_0120,202.32675
TEST_0121,55.907436
TEST_0122,45.165596
TEST_0123,21.554321
TEST_0124,34.326103
TEST_0125,109.97125
TEST_0126,51.42834
TEST_0127,60.089508
TEST_0128,110.38374
TEST_0129,83.31745
TEST_0130,64.90458
TEST_0131,207.25734
TEST_0132,74.82378
TEST_0133,151.85117
TEST_0134,109.46958
TEST_0135,76.999725
TEST_0136,78.49879
TEST_0137,70.242744
TEST_0138,194.26555
TEST_0139,25.26557
TEST_0140,134.0395
TEST_0141,17.553335
TEST_0142,121.07685
TEST_0143,44.596313
TEST_0144,12.096112
TEST_0145,37.328136
TEST_0146,170.29063
TEST_0147,88.19387
TEST_0148,128.91862
TEST_0149,98.002525
TEST_0150,44.353535
TEST_0151,89.98942
TEST_0152,73.747284
TEST_0153,21.60961
TEST_0154,105.25639
TEST_0155,62.71737
TEST_0156,144.72754
TEST_0157,43.48762
TEST_0158,211.42673
TEST_0159,44.757057
TEST_0160,140.22823
TEST_0161,110.82908
TEST_0162,124.2223
TEST_0163,156.98935
TEST_0164,62.432716
TEST_0165,34.675304
TEST_0166,44.267044
TEST_0167,132.90953
TEST_0168,215.44829
