,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
11,0,24,0.0,0.0,0.0,0.0,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,0.0721687836487032,1,1.0,1.0,1.0,1.0,1.0,0.0
19,0,24,0.0,0.0,0.0,0.0,10,,linear,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'linear'}",0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,0.0721687836487032,1,1.0,1.0,1.0,1.0,1.0,0.0
3,0,24,0.0,0.0,0.0,0.0,10,3,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,0.0721687836487032,1,1.0,1.0,1.0,1.0,1.0,0.0
4,0,24,0.0,0.0,0.0,0.0,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,0.0721687836487032,1,1.0,1.0,1.0,1.0,1.0,0.0
5,0,24,0.0,0.0,0.0,0.0,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,0.0721687836487032,1,1.0,1.0,1.0,1.0,1.0,0.0
6,0,24,0.0,0.0,0.0,0.0,100,3,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,0.0721687836487032,1,1.0,1.0,1.0,1.0,1.0,0.0
7,0,24,0.0,0.0,0.0,0.0,100,4,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,0.0721687836487032,1,1.0,1.0,1.0,1.0,1.0,0.0
8,0,24,0.0,0.0,0.0,0.0,100,5,linear,,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,0.0721687836487032,1,1.0,1.0,1.0,1.0,1.0,0.0
9,0,24,0.0,0.0,0.0,0.0,1000,3,linear,,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,0.0721687836487032,1,1.0,1.0,1.0,1.0,1.0,0.0
10,0,24,0.0,0.0,0.0,0.0,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,0.0721687836487032,1,1.0,1.0,1.0,1.0,1.0,0.0
21,0,24,0.0,0.0,0.0,0.0,100,,linear,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'linear'}",0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,0.0721687836487032,1,1.0,1.0,1.0,1.0,1.0,0.0
17,0,24,0.0039055943489074707,0.006764687846061628,0.0,0.0,10,,linear,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,0.0721687836487032,1,1.0,1.0,1.0,1.0,1.0,0.0
23,0,24,0.0,0.0,0.0,0.0,100,,linear,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'linear'}",0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,0.0721687836487032,1,1.0,1.0,1.0,1.0,1.0,0.0
53,1,72,0.0012500286102294922,0.0004333257839145159,0.0004995465278625488,0.0004995465918694416,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.8888888888888888,1.0,1.0,0.9444444444444444,0.9583333333333333,0.04606423319938058,14,1.0,1.0,1.0,0.9814814814814815,0.9953703703703703,0.00801875373874479
54,1,72,0.0007492899894714355,0.0004326029851702302,0.0002499222755432129,0.00043287807918407335,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",0.8888888888888888,1.0,1.0,0.9444444444444444,0.9583333333333333,0.04606423319938058,14,1.0,1.0,1.0,0.9814814814814815,0.9953703703703703,0.00801875373874479
52,1,72,0.0002497434616088867,0.00043256836436471915,0.0007496476173400879,0.0004328093959492613,10,3,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.8888888888888888,1.0,1.0,0.9444444444444444,0.9583333333333333,0.04606423319938058,14,1.0,1.0,1.0,0.9814814814814815,0.9953703703703703,0.00801875373874479
50,1,72,0.0007495284080505371,0.00043274047193886324,0.0002499222755432129,0.00043287807918407335,1000,4,sigmoid,0.001,"{'C': 1000, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.8888888888888888,1.0,1.0,0.9444444444444444,0.9583333333333333,0.04606423319938058,14,1.0,1.0,1.0,0.9814814814814815,0.9953703703703703,0.00801875373874479
49,1,72,0.0007494091987609863,0.0004326718325488274,0.0002498030662536621,0.00043267160263783723,1,,linear,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.8888888888888888,1.0,1.0,0.9444444444444444,0.9583333333333333,0.04606423319938058,14,1.0,1.0,1.0,0.9814814814814815,0.9953703703703703,0.00801875373874479
48,1,72,0.0007495880126953125,0.0004327749394207467,0.0002499222755432129,0.00043287807918407335,1,,linear,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'linear'}",0.8888888888888888,1.0,1.0,0.9444444444444444,0.9583333333333333,0.04606423319938058,14,1.0,1.0,1.0,0.9814814814814815,0.9953703703703703,0.00801875373874479
